COMMODITY,CLIENT_FUT_LIMIT,CLIENT_OPT_LIMIT,UNIT                                
COPPER,7000000,14000000,KGS                                                     
ZINC,7000000,14000000,KGS                                                       
GOLD,5000000,10000000,GMS                                                       
NICKEL,1000000,2000000,KGS                                                      
SILVER,100000,200000,KG                                                         
NATURALGAS,6000000,12000000,MMBTU                                               
BRCRUDEOIL,400000,800000,BBL                                                    
LEAD,3500000,7000000,KGS                                                        
CRUDEOIL,480000,960000,BBL                                                      
ALUMINIUM,25000000,50000000,KGS                                                 
ELECMBL,300000,600000,MWH                                                       
