ISIN,SYMBOL,SERIES,TYPE,HAIRCUT,NAV
INF247L01CC7,152353,DP,OMF,9.00,12.13
INF200KB1126,152417,GR,OMF,9.00,11.45
INF194KB1ES1,150874,DR,OMF,9.00,10.73
INF200KA1A97,146642,DR,OMF,9.00,24.48
INF336L01RG7,152379,DP,OMF,9.00,12.58
INF966L01DT4,152415,GR,OMF,9.92,11.06
INF740KA1TZ4,152307,GR,OMF,9.00,12.18
INF204KB1ZG9,143708,DP,OMF,9.00,11.76
INF397L01JI2,151999,DR,OMF,9.00,32.04
INF0R8701145,152509,GR,OMF,9.00,11.96
INF769K01GC3,148503,DR,OMF,9.00,24.97
INF204K01YG5,143501,DR,OMF,9.00,1092.96
INF174KA1NC1,151650,DP,OMF,9.79,21.85
INF251K01TB7,152472,GR,OMF,9.00,13.23
INF336L01RF9,152378,GR,OMF,9.00,13.78
INF194KB1HG9,152264,GR,OMF,9.00,12.90
INF179KC1IE0,152521,DP,OMF,12.75,9.63
INF179KC1IC4,152430,DP,OMF,9.00,10.34
INF247L01CB9,152352,GR,OMF,9.00,13.61
INF336L01RH5,152379,DR,OMF,9.00,12.58
INF251K01TE1,152470,GR,OMF,9.00,13.68
INF760K01KV4,152448,DR,OMF,9.00,13.74
INF200KB1118,152419,DR,OMF,9.00,11.16
INF194KB1HD6,152266,GR,OMF,9.07,12.68
INF204KC1352,149761,DP,OMF,22.13,33.13
INF740KA1UC1,152310,GR,OMF,9.00,12.62
INF740KA1TW1,152243,GR,OMF,9.00,10.92
INF769K01IO4,150471,DR,OMF,9.00,14.14
INF174KA1FY1,148744,DR,OMF,9.00,20.55
INF204KC1BV8,152387,GR,OMF,9.00,12.35
INF247L01BZ0,152235,DP,OMF,9.00,16.68
INF966L01DR8,152414,DP,OMF,9.85,10.70
INF174K01LI3,119773,GR,OMF,9.00,136.15
INF740K01K81,126393,GR,OMF,9.00,33.27
INF090I01EV3,116632,DP,OMF,12.15,93.31
INF090I01DJ0,100529,DP,OMF,9.00,15.22
INF174K01Z14,135500,DP,OMF,9.00,16.17
INF767K01527,105822,DR,OMF,9.00,11.79
INF903JA1FC8,144837,DP,OMF,9.46,22.93
INF090I01EW1,116633,GR,OMF,12.15,93.31
INF174K01369,103339,GR,OMF,9.00,114.98
INF767K01535,105823,GR,OMF,9.00,36.76
INF090I01262,101656,GR,OMF,9.00,165.58
INF846K01ZZ0,141594,DR,OMF,9.00,10.22
INF179K01WM1,119063,DP,OMF,9.00,234.37
INF903JA1GZ7,146959,GR,GMF,5.00,1438.77
INF090I01HV6,118543,GR,OMF,9.00,188.78
INF204K01588,102848,DR,OMF,9.00,31.67
INF090I01DK8,100529,DR,OMF,9.00,15.22
INF903JA1FA2,144835,GR,OMF,9.00,38.50
INF846K01K35,125354,GR,OMF,9.00,131.07
INF277K015S3,146008,DR,OMF,9.00,22.81
INF174K01385,103338,DP,OMF,9.00,43.03
INF846K01K01,125350,GR,OMF,9.00,112.34
INF179K01KZ8,101525,GR,OMF,9.00,228.92
INF846K01K19,125352,DP,OMF,9.72,44.74
INF846K01K50,125351,DR,OMF,9.72,52.87
INF846K01K43,125351,DP,OMF,9.72,52.87
INF090I01DH4,100527,DP,OMF,9.00,16.89
INF789F1ACO4,145287,GR,OMF,9.00,1586.32
INF204K01ZK4,118698,DP,GMF,10.00,1006.75
INF846K01E33,144397,DP,OMF,9.00,15.39
INF090I01254,101657,DR,OMF,9.00,40.78
INF090I01HU8,118542,DR,OMF,9.00,48.49
INF740K01K73,126392,DR,OMF,9.00,14.11
INF204K01ZL2,118698,DR,GMF,10.00,1006.75
INF204KB1Q65,145811,GR,GMF,5.00,145.56
INF090I01JQ2,118550,DR,OMF,12.15,106.37
INF200KA1YT0,146212,DR,OMF,9.00,15.98
INF090I01DL6,100530,DP,OMF,9.00,11.99
INF903JA1EZ2,144834,DP,OMF,9.46,20.91
INF090I01HT0,118542,DP,OMF,9.00,48.49
INF090I01DM4,100530,DR,OMF,9.00,11.99
INF767K01519,105822,DP,OMF,9.00,11.79
INF03VN01AE1,154162,GR,OMF,9.00,10.10
INF277K014C0,101986,DR,GMF,10.00,1114.52
INF903JA1HG5,146963,GR,GMF,5.00,1449.00
INF277K010S4,146007,GR,OMF,9.00,21.11
INF204KB1R31,145810,GR,GMF,5.00,146.57
INF740K01K65,126392,DP,OMF,9.00,14.11
INF090I01247,101657,DP,OMF,9.00,40.78
INF204K01604,102846,GR,OMF,9.00,182.09
INF767K01GI4,120338,GR,OMF,9.00,39.82
INF680P01489,154143,GR,GMF,10.00,1028.51
INF090I01EU5,116632,DR,OMF,12.15,93.31
INF174K01Z22,135500,DR,OMF,9.00,16.17
INF174V01DA4,154121,GR,OMF,9.00,10.97
INF090I01JP4,118550,DP,OMF,12.15,106.37
INF174K01LJ1,119772,DP,OMF,9.00,57.03
