ISIN,Descriptor,Trade Date,Quantity,Nominal Value,Weighted Average Price (Rs.),Weighted Average Yield (%)
INE028A16MD0,BANK OF BARODA CD 12AUG26,02-Jul-26,2000,1000000000,99.3305,6.000355305600262047088182209158609574
INE562A16QJ6,INDIAN BANK CD 09FEB27,02-Jul-26,1000,500000000,96.1463,6.58999700278459835509872796799074773369
INE238AD6CA3,AXIS BANK LIMITED CD 16DEC26,02-Jul-26,7000,3500000000,97.1249,6.46991780439906802391732361804911698891
INE090AD6279,ICICI BANK LIMITED CD 27JAN27,02-Jul-26,500,250000000,96.385,6.55006226276051510923720237792366290196
INE028A16LC4,BANK OF BARODA CD 27JAN27,01-Jul-26,2000,1000000000,96.3212,6.67007737091450421652419048412322669925
INE261F16AP5,NATIONAL BANK FOR AGRICULTURE AND RURAL DEVELOPMENT CD 17MAR27,02-Jul-26,3500,1750000000,95.4783,6.6999293893696710515990698710410329286
INE528G16X52,YES BANK LIMITED CD 05MAR27,01-Jul-26,1000,500000000,95.5562,6.90006832568780917297160145641445447088
INE476A16H01,CANARA BANK CD 12FEB27,02-Jul-26,1000,500000000,96.0906,6.59993334993803301837594473918942701529
INE028A16LD2,BANK OF BARODA CD 25JAN27,01-Jul-26,500,250000000,96.3341,6.71000878198717710420708902938523828107
INE040A16HW5,HDFC BANK LIMITED CD 13NOV26,02-Jul-26,2000,1000000000,97.6763,6.4800584617594872958458078428136090881
INE160A16UI3,PUNJAB NATIONAL BANK CD 10FEB27,02-Jul-26,10000,5000000000,96.124,6.59993920408859035405127868282243059369
INE028A16MK5,BANK OF BARODA CD 24AUG26,02-Jul-26,1000,500000000,99.1292,6.04969965249848511022664608695539626996
INE084A16FX5,BANK OF INDIA CD 11AUG26,02-Jul-26,3500,1750000000,99.3359,6.10042542524907913453242986674505390297
INE028A16LS0,BANK OF BARODA CD 08MAR27,02-Jul-26,2000,1000000000,95.6915,6.60003520768621268225008633521456700915
INE261F16AK6,NATIONAL BANK FOR AGRICULTURE AND RURAL DEVELOPMENT CD 17FEB27,02-Jul-26,2000,1000000000,95.9491,6.7000130005524215216827146530998115713
INE237AD6166,KOTAK MAHINDRA BANK LIMITED (FORMERLY KOTAK MAHINDRA FINANCE LIMITED) CD 05MAR27,01-Jul-26,2000,1000000000,95.698,6.6699918289700985162164104660545445556
INE040A16IT9,HDFC BANK LIMITED CD 09MAR27,01-Jul-26,1000,500000000,95.581,6.75002354024335380462644249380106925017
INE238AD6CI6,AXIS BANK LIMITED CD 18AUG26,02-Jul-26,2000,1000000000,99.2257,6.06010423818005797614332028213606894355
INE028A16MM1,BANK OF BARODA CD 01SEP26,02-Jul-26,500,250000000,98.9974,6.05992069935799274344247557155582857333
INE028A16KI3,BANK OF BARODA CD 06NOV26,01-Jul-26,1000,500000000,97.8217,6.39987702517642596071806974474586210639
INE028A16LG5,BANK OF BARODA CD 02FEB27,01-Jul-26,3000,1500000000,96.2196,6.67004266500071010045141892958616853867
