ISIN,Descriptor,Trade Date,Quantity,Nominal Value,Weighted Average Price (Rs.),Weighted Average Yield (%)
INE01C314FA4,BAJAJ FINANCIAL SECURITIES LIMITED 91D CP 09JUL26,02-Jul-26,3800,1900000000,99.8832,6.09740748622963049413143122595763280082
INE674K14CP0,ADITYA BIRLA CAPITAL LIMITED 87D CP 25SEP26,02-Jul-26,4000,2000000000,98.4863,6.59990870035014126479580229462790017195
INE102D14CA9,GODREJ CONSUMER PRODUCTS LIMITED 62D CP 06JUL26,02-Jul-26,1000,500000000,99.9343,5.99906638661600671641268313281826159787
INE261F14PT0,NATIONAL BANK FOR AGRICULTURE AND RURAL DEVELOPMENT 91D CP 11SEP26,02-Jul-26,14000,7000000000,98.81861428571428571428571428571428571429,6.14592825338147405947542584803405283967
INE296A14D21,BAJAJ FINANCE LIMITED 365D CP 06NOV26,02-Jul-26,6000,3000000000,97.63336666666666666666666666666666666667,6.96661619238623368155395637834219463442
INE484J14B34,GODREJ PROPERTIES LIMITED 88D CP 07JUL26,02-Jul-26,2500,1250000000,99.911,6.50278748085796358759295773238181981964
INE296A14D21,BAJAJ FINANCE LIMITED 365D CP 06NOV26,01-Jul-26,2500,1250000000,97.6057,7.05005538151133696456461789024051688476
INE733E14BY1,NTPC LIMITED 91D CP 17JUL26,02-Jul-26,2500,1250000000,99.752,6.0496698478894324591653968508567915096
INE296A14D13,BAJAJ FINANCE LIMITED 365D CP 04NOV26,01-Jul-26,3000,1500000000,97.65123333333333333333333333333333333333,7.0233622253167935245560558643583303057
INE674K14CL9,ADITYA BIRLA CAPITAL LIMITED 91D CP 18AUG26,02-Jul-26,2000,1000000000,99.1396,6.7398191915582093867551305045633910764
INE020B14706,REC LIMITED 91D CP 21SEP26,02-Jul-26,9000,4500000000,98.6709,6.06982841039014980200611763041347988211
INE763G14H25,ICICI SECURITIES LIMITED (EARLIER ICICI BROKERAGE SERVICES LIMITED) 196D CP 22OCT26,01-Jul-26,1000,500000000,97.8825,7.05006640615023114448445840676321099278
INE891K14PZ1,AXIS FINANCE LIMITED 88D CP 11AUG26,02-Jul-26,2500,1250000000,99.2616,6.78802339075427473913000700613283427496
INE261F14PQ6,NATIONAL BANK FOR AGRICULTURE AND RURAL DEVELOPMENT 91D CP 08SEP26,02-Jul-26,1000,500000000,98.869,6.1402551088100534694453087954173466613
INE733E14CD3,NTPC LIMITED 91D CP 23SEP26,02-Jul-26,4000,2000000000,98.6385,6.06996213977360455424588041903526661705
INE733E14BZ8,NTPC LIMITED 141D CP 09SEP26,01-Jul-26,4000,2000000000,98.8526,6.14003041917453616417968172609624278245
