ISIN,Description,Trade Date,Quantity,Nominal Value,Weighted Average Price,Weighted Average Yield
INE787H07362,INDIA INFRASTRUCTURE FINANCE COMPANY LIMITED 8.73 BD 22JN29 FVRS1000 LOA UPTO 20AP14,02-Jul-2026,40,40000.00,107.51,5.24
INE020B08FZ9,REC LIMITED SR 250A 6.60 BD 30JU27 FVRS1LAC,02-Jul-2026,9000,900000000.00,99.59,7.04
INE062A08371,STATE BANK OF INDIA SR 1 8.10 BD PP FVRS1CR,02-Jul-2026,10,100000000.00,100.97,7.91
INE053F08304,INDIAN RAILWAY FINANCE CORPORATION LIMITED SR 171 7.23 BD 15OT26 FVRS1LAC,02-Jul-2026,12500,1250000000.00,100.16,6.55
INE01XO07025,IFL FINANCE LIMITED 12.25 NCD 16JN28 FVRS8750,02-Jul-2026,268,2345000.00,86.24,12.16
INE031A07840,HOUSING AND URBAN DEVELOPMENT CORPORATION LIMITED 8.2/8.35 BD 05MR27 FVRS1000 LOA UPTO 31MY12,02-Jul-2026,50000,50000000.00,101.63,5.55
INE674K07143,ADITYA BIRLA CAPITAL LIMITED SR C1 8.26 NCD 16JU31 FVRS1LAC,02-Jul-2026,10,1000000.00,101.60,7.85
INE046W07305,MUTHOOT MICROFIN LIMITED 9.8 NCD 04NV27 FVRS75000,01-Jul-2026,2,150000.00,99.73,10.65
INE0GCN07054,ADANI AIRPORT HOLDINGS LIMITED 8.45 NCD 12FB29 FVRS1LAC,02-Jul-2026,100,10000000.00,101.13,8.20
INE0M2307339,ANDHRA PRADESH STATE BEVERAGES CORPORATION LIMITED SR IV E 9.15 BD 29NV30 FVRS1LAC,02-Jul-2026,237,23700000.00,101.28,9.05
INE125T07337,VARTHANA FINANCE PRIVATE LIMITED 11.35 NCD 27SP27 FVRS70000,02-Jul-2026,15,750000.00,99.74,12.25
INE115A07PI6,LIC HOUSING FINANCE LTD TR 412 6.17 LOA 03SP26 FVRS10LAC,01-Jul-2026,250,250000000.00,99.89,6.50
