ISIN,Description,Trade Date,Quantity,Nominal Value,Weighted Average Price,Weighted Average Yield
INE093JA7R94,ANAND RATHI GLOBAL FINANCE LIMITED SR SP17 I BR NCD 15JL26 FVRS1LAC,02-Jul-2026,160,16000000.00,245.10,7.50
INE093JA71F0,ANAND RATHI GLOBAL FINANCE LIMITED SR SP53 IV BR NCD 03NV26 FVRS1LAC,02-Jul-2026,13,1300000.00,242.03,7.50
INE093JA77C4,ANAND RATHI GLOBAL FINANCE LIMITED SR SP47 II BR NCD 14OT26 FVRS1LAC,02-Jul-2026,6,600000.00,242.68,7.50
INE093JA70D7,ANAND RATHI GLOBAL FINANCE LIMITED SR SP48 II BR NCD 15OT26 FVRS1LAC,02-Jul-2026,32,3200000.00,218.29,7.50
INE12VA07AH2,BRANCH INTERNATIONAL FINANCIAL SERVICES PRIVATE LIMITED 13.5 NCD 18JU27 FVRS1LAC,02-Jul-2026,60,6000000.00,98.53,16.25
INE12VA07983,BRANCH INTERNATIONAL FINANCIAL SERVICES PRIVATE LIMITED 15 NCD 30MY27 FVRS1LAC,02-Jul-2026,10,1000000.00,99.92,16.25
INE093JA7S51,ANAND RATHI GLOBAL FINANCE LIMITED SR SP20 I BR NCD 19JL26 FVRS1LAC,02-Jul-2026,40,4000000.00,245.16,7.50
INE093JA72G6,ANAND RATHI GLOBAL FINANCE LIMITED SR SP58 III BR NCD 16NV26 FVRS1LAC,02-Jul-2026,160,16000000.00,216.47,7.50
INE093JA78I9,ANAND RATHI GLOBAL FINANCE LIMITED SR SP66 III BR NCD 30NV26 FVRS1LAC,02-Jul-2026,42,4200000.00,239.92,7.50
INE093JA77J9,ANAND RATHI GLOBAL FINANCE LIMITED SR SP70 III BR NCD 08DC26 FVRS1LAC,02-Jul-2026,80,8000000.00,215.85,7.50
INE093JA72D3,ANAND RATHI GLOBAL FINANCE LIMITED SR SP49 II BR NCD 19OT26 FVRS1LAC,02-Jul-2026,13,1300000.00,242.36,7.50
INE093J08617,ANAND RATHI GLOBAL FINANCE LIMITED SR ARG26PDI01 9.25 NCD PP FVRS1LAC,02-Jul-2026,10,1000000.00,101.55,8.98
