DATE,INSTRUMENT,UNDERLYING,EXPIRY DATE,CROSS CURRENCY PRICE,RBI REFERENCE RATE,MTM SETTLEMENT PRICE 
02-JUL-2026,FUTCUR,EURUSD,03-JUL-2026,1.1349000,95.2731,108.1254000                                 
02-JUL-2026,FUTCUR,EURUSD,10-JUL-2026,1.1353000,95.2731,108.1636000                                 
02-JUL-2026,FUTCUR,EURUSD,17-JUL-2026,1.1356000,95.2731,108.1921000                                 
02-JUL-2026,FUTCUR,EURUSD,24-JUL-2026,1.1359000,95.2731,108.2207000                                 
02-JUL-2026,FUTCUR,EURUSD,29-JUL-2026,1.1362000,95.2731,108.2493000                                 
02-JUL-2026,FUTCUR,EURUSD,31-JUL-2026,1.1363000,95.2731,108.2588000                                 
02-JUL-2026,FUTCUR,EURUSD,07-AUG-2026,1.1366000,95.2731,108.2874000                                 
02-JUL-2026,FUTCUR,EURUSD,14-AUG-2026,1.1369000,95.2731,108.3160000                                 
02-JUL-2026,FUTCUR,EURUSD,21-AUG-2026,1.1372000,95.2731,108.3446000                                 
02-JUL-2026,FUTCUR,EURUSD,27-AUG-2026,1.1375000,95.2731,108.3732000                                 
02-JUL-2026,FUTCUR,EURUSD,28-AUG-2026,1.1376000,95.2731,108.3827000                                 
02-JUL-2026,FUTCUR,EURUSD,04-SEP-2026,1.1379000,95.2731,108.4113000                                 
02-JUL-2026,FUTCUR,EURUSD,11-SEP-2026,1.1382000,95.2731,108.4398000                                 
02-JUL-2026,FUTCUR,EURUSD,28-SEP-2026,1.1390000,95.2731,108.5161000                                 
02-JUL-2026,FUTCUR,EURUSD,28-OCT-2026,1.1404000,95.2731,108.6494000                                 
02-JUL-2026,FUTCUR,EURUSD,26-NOV-2026,1.1418000,95.2731,108.7828000                                 
02-JUL-2026,FUTCUR,EURUSD,29-DEC-2026,1.1433000,95.2731,108.9257000                                 
02-JUL-2026,FUTCUR,EURUSD,27-JAN-2027,1.1447000,95.2731,109.0591000                                 
02-JUL-2026,FUTCUR,EURUSD,24-FEB-2027,1.1460000,95.2731,109.1830000                                 
02-JUL-2026,FUTCUR,EURUSD,29-MAR-2027,1.1476000,95.2731,109.3354000                                 
02-JUL-2026,FUTCUR,EURUSD,28-APR-2027,1.1490000,95.2731,109.4688000                                 
02-JUL-2026,FUTCUR,EURUSD,27-MAY-2027,1.1503000,95.2731,109.5926000                                 
02-JUL-2026,FUTCUR,EURUSD,28-JUN-2027,1.1519000,95.2731,109.7451000                                 
02-JUL-2026,FUTCUR,GBPUSD,03-JUL-2026,1.3254000,95.2731,126.2750000                                 
02-JUL-2026,FUTCUR,GBPUSD,10-JUL-2026,1.3254000,95.2731,126.2750000                                 
02-JUL-2026,FUTCUR,GBPUSD,17-JUL-2026,1.3254000,95.2731,126.2750000                                 
02-JUL-2026,FUTCUR,GBPUSD,24-JUL-2026,1.3254000,95.2731,126.2750000                                 
02-JUL-2026,FUTCUR,GBPUSD,29-JUL-2026,1.3254000,95.2731,126.2750000                                 
02-JUL-2026,FUTCUR,GBPUSD,31-JUL-2026,1.3253000,95.2731,126.2654000                                 
02-JUL-2026,FUTCUR,GBPUSD,07-AUG-2026,1.3253000,95.2731,126.2654000                                 
02-JUL-2026,FUTCUR,GBPUSD,14-AUG-2026,1.3253000,95.2731,126.2654000                                 
02-JUL-2026,FUTCUR,GBPUSD,21-AUG-2026,1.3253000,95.2731,126.2654000                                 
02-JUL-2026,FUTCUR,GBPUSD,27-AUG-2026,1.3253000,95.2731,126.2654000                                 
02-JUL-2026,FUTCUR,GBPUSD,28-AUG-2026,1.3253000,95.2731,126.2654000                                 
02-JUL-2026,FUTCUR,GBPUSD,04-SEP-2026,1.3253000,95.2731,126.2654000                                 
02-JUL-2026,FUTCUR,GBPUSD,11-SEP-2026,1.3253000,95.2731,126.2654000                                 
02-JUL-2026,FUTCUR,GBPUSD,28-SEP-2026,1.3252000,95.2731,126.2559000                                 
02-JUL-2026,FUTCUR,GBPUSD,28-OCT-2026,1.3252000,95.2731,126.2559000                                 
02-JUL-2026,FUTCUR,GBPUSD,26-NOV-2026,1.3251000,95.2731,126.2464000                                 
02-JUL-2026,FUTCUR,GBPUSD,29-DEC-2026,1.3251000,95.2731,126.2464000                                 
02-JUL-2026,FUTCUR,GBPUSD,27-JAN-2027,1.3250000,95.2731,126.2369000                                 
02-JUL-2026,FUTCUR,GBPUSD,24-FEB-2027,1.3250000,95.2731,126.2369000                                 
02-JUL-2026,FUTCUR,GBPUSD,29-MAR-2027,1.3249000,95.2731,126.2273000                                 
02-JUL-2026,FUTCUR,GBPUSD,28-APR-2027,1.3249000,95.2731,126.2273000                                 
02-JUL-2026,FUTCUR,GBPUSD,27-MAY-2027,1.3248000,95.2731,126.2178000                                 
02-JUL-2026,FUTCUR,GBPUSD,28-JUN-2027,1.3247000,95.2731,126.2083000                                 
02-JUL-2026,FUTCUR,USDJPY,03-JUL-2026,162.2800000,58.72,95.2908000                                  
02-JUL-2026,FUTCUR,USDJPY,10-JUL-2026,162.2000000,58.72,95.2438000                                  
02-JUL-2026,FUTCUR,USDJPY,17-JUL-2026,162.1100000,58.72,95.1910000                                  
02-JUL-2026,FUTCUR,USDJPY,24-JUL-2026,162.0300000,58.72,95.1440000                                  
02-JUL-2026,FUTCUR,USDJPY,29-JUL-2026,161.9700000,58.72,95.1088000                                  
02-JUL-2026,FUTCUR,USDJPY,31-JUL-2026,161.9400000,58.72,95.0912000                                  
02-JUL-2026,FUTCUR,USDJPY,07-AUG-2026,161.8600000,58.72,95.0442000                                  
02-JUL-2026,FUTCUR,USDJPY,14-AUG-2026,161.7800000,58.72,94.9972000                                  
02-JUL-2026,FUTCUR,USDJPY,21-AUG-2026,161.6900000,58.72,94.9444000                                  
02-JUL-2026,FUTCUR,USDJPY,27-AUG-2026,161.6200000,58.72,94.9033000                                  
02-JUL-2026,FUTCUR,USDJPY,28-AUG-2026,161.6100000,58.72,94.8974000                                  
02-JUL-2026,FUTCUR,USDJPY,04-SEP-2026,161.5300000,58.72,94.8504000                                  
02-JUL-2026,FUTCUR,USDJPY,11-SEP-2026,161.4400000,58.72,94.7976000                                  
02-JUL-2026,FUTCUR,USDJPY,28-SEP-2026,161.2400000,58.72,94.6801000                                  
02-JUL-2026,FUTCUR,USDJPY,28-OCT-2026,160.8800000,58.72,94.4687000                                  
02-JUL-2026,FUTCUR,USDJPY,26-NOV-2026,160.5400000,58.72,94.2691000                                  
02-JUL-2026,FUTCUR,USDJPY,29-DEC-2026,160.1400000,58.72,94.0342000                                  
02-JUL-2026,FUTCUR,USDJPY,27-JAN-2027,159.8000000,58.72,93.8346000                                  
