SYMBOL,TM_LIMIT in contracts applicable for 03-JUL-2026,TM_BANK_LIMIT in contracts applicable for 03-JUL-2026,Exchange
EURINR,50000,50000,NSE
EURUSD,100000,100000,NSE
GBPINR,50000,50000,NSE
GBPUSD,100000,100000,NSE
JPYINR,20000,20000,NSE
USDINR,157808,157808,NSE
USDJPY,100000,100000,NSE
EURINR,50000,50000,BSE
EURUSD,100000,100000,BSE
GBPINR,50000,50000,BSE
GBPUSD,100000,100000,BSE
JPYINR,20000,20000,BSE
USDINR,100000,100000,BSE
USDJPY,100000,100000,BSE
EURINR,50000,50000,MSE
EURUSD,100000,100000,MSE
GBPINR,50000,50000,MSE
GBPUSD,100000,100000,MSE
JPYINR,20000,20000,MSE
USDINR,100000,100000,MSE
USDJPY,100000,100000,MSE
