Confirmed list of securities to be auctioned in A 2026121 to be held on Jul 02 2026.

Sr No,Symbol,Series,Total Qty
1,ACI,EQ,100
2,ADANIENT,EQ,16
3,ADANIGREEN,EQ,20
4,ADANIPORTS,EQ,204
5,AEROFLEX,EQ,2
6,AJMERA,EQ,1
7,ALPA,EQ,107
8,APLAPOLLO,EQ,27
9,ASHOKLEY,EQ,50
10,ASIANPAINT,EQ,1
11,ASIFRG,SF,2
12,ATGL,EQ,2
13,AUBANK,EQ,1308
14,AVANTIFEED,EQ,2
15,AXISBANK,EQ,10
16,BAJAJ-AUTO,EQ,4
17,BANARBEADS,EQ,29
18,BANKBARODA,EQ,640
19,BANKINDIA,EQ,5
20,BDL,EQ,14
21,BELRISE,EQ,1
22,BEWLTD,SM,500
23,BHARATSE,EQ,6009
24,BHARTIARTL,EQ,25
25,BHEL,EQ,10
26,BLACKBUCK,EQ,1
27,BOSCH-HCIL,EQ,800
28,BSE,EQ,20
29,CANBK,EQ,64
30,CCAVENUE,EQ,3
31,CDSL,EQ,1
32,CEMPRO,EQ,2860
33,CENTRUM,EQ,92678
34,CGPOWER,EQ,171
35,COCHINSHIP,EQ,104
36,COLPAL,EQ,1
37,CONFIPET,EQ,500
38,CORDELIA,EQ,496
39,CROMPTON,EQ,25
40,CUB,EQ,2
41,CUMMINSIND,EQ,39
42,DABUR,EQ,1
43,DELHIVERY,EQ,1200
44,DIVISLAB,EQ,64
45,DIXON,EQ,138
46,DLF,EQ,300
47,EBBETF0430,EQ,5
48,EBGNG,EQ,10144
49,EDELWEISS,EQ,100
50,EICHERMOT,EQ,8
51,EMIL,EQ,1
52,EMMVEE,EQ,3482
53,EMSLIMITED,EQ,1
54,ETERNAL,EQ,315
55,EVERESTIND,EQ,100
56,FEDERALBNK,EQ,247
57,FINPIPE,EQ,500
58,FIRSTCRY,EQ,500
59,FORCEMOT,EQ,2
60,GANDHAR,EQ,1
61,GENUSPOWER,EQ,1
62,GKENERGY,EQ,1
63,GMRAIRPORT,EQ,91
64,GODREJPROP,EQ,1
65,GRADIENTE,EQ,1000
66,GRANDOAK,EQ,324
67,GRAUWEIL,EQ,1002
68,GROWW,EQ,515
69,GROWWNIFTY,EQ,4680
70,GSEC10YEAR,EQ,184
71,GTLINFRA,EQ,11182
72,HARIOMPIPE,EQ,1
73,HBESD,EQ,1
74,HBLENGINE,EQ,2
75,HCC,EQ,5
76,HDBFS,EQ,30
77,HDFCBANK,EQ,411
78,HEXT,EQ,5
79,HFCL,EQ,1
80,HINDCOMPOS,EQ,10
81,HINDZINC,EQ,21
82,HUDCO,EQ,100
83,ICICIBANK,EQ,120
84,IDEA,EQ,428
85,IFCI,EQ,101
86,INDIAGLYCO,EQ,4
87,INDIANB,EQ,4
88,INFY,EQ,1
89,IOC,EQ,5
90,IRB,EQ,374
91,IRCON,EQ,1000
92,IREDA,EQ,960
93,ISGEC,EQ,100
94,ITC,EQ,25
95,ITCHOTELS,EQ,7
96,IVALUE,EQ,43
97,IVC,EQ,1
98,JASH,EQ,3
99,JIOFIN,EQ,120
100,JTLIND,EQ,1
101,JWL,EQ,502
102,JYOTISTRUC,EQ,817
103,KANANIIND,EQ,12809
104,KAYNES,EQ,300
105,KOTAKBANK,EQ,4663
106,KOVAI,EQ,1
107,KPITTECH,EQ,125
108,KRSNAA,EQ,1
109,LATENTVIEW,EQ,1
110,LCCINFOTEC,EQ,979
111,LENSKART,EQ,3
112,LEXUS,EQ,700
113,LICI,EQ,1400
114,LIQUIDBEES,EQ,1
115,LTF,EQ,10
116,LTTS,EQ,11
117,MAHABANK,EQ,297
118,MAHLIFE,EQ,41
119,MANAKCOAT,EQ,7
120,MARUTI,EQ,3
121,MCX,EQ,42
122,MEDPLUS,EQ,30
123,MENNPIS,EQ,2
124,METAL,EQ,1
125,MHLXMIRU,EQ,1
126,MIDWESTLTD,EQ,35
127,MON100,EQ,5
128,MOREPENLAB,EQ,100
129,MOSCHIP,EQ,1
130,MOTHERSON,EQ,1005
131,MOTOUR,EQ,3
132,MPSLTD,EQ,5
133,MSPL,EQ,2103
134,NAM-INDIA,EQ,44
135,NBCC,EQ,26
136,NH,EQ,175
137,NHPC,EQ,13
138,NIFTYCASE,EQ,1
139,NTPCGREEN,EQ,1778
140,NYKAA,EQ,300
141,OBEROIRLTY,EQ,1
142,OLAELEC,EQ,1
143,OMAXE,EQ,2000
144,PAISALO,EQ,8579
145,PARACABLES,EQ,250
146,PATANJALI,EQ,60
147,PAYTM,EQ,116
148,PERSISTENT,EQ,28
149,PFC,EQ,1
150,PGHL,EQ,612
151,PNBGILTS,EQ,1
152,POWERGRID,EQ,19
153,PPLPHARMA,EQ,100
154,PREMIERENE,EQ,10
155,PRESTIGE,EQ,1
156,PSUBANKADD,EQ,193
157,RAMCOSYS,EQ,30
158,RBLBANK,EQ,315
159,RELIANCE,EQ,14
160,RITES,EQ,225
161,RPOWER,EQ,320
162,RUSTOMJEE,EQ,4
163,SAGCEM,EQ,2
164,SAIL,EQ,9
165,SAMMAANCAP,EQ,2
166,SASKEN,EQ,825
167,SCPL,EQ,4
168,SETL,EQ,273968
169,SICALLOG,EQ,300
170,SIGNPOST,EQ,103
171,SOLARINDS,EQ,4
172,SOUTHWEST,EQ,1
173,SPAL,EQ,1
174,SPIC,EQ,5000
175,SRF,EQ,10
176,STEELCAS,EQ,1
177,SUZLON,EQ,25
178,SWIGGY,EQ,11000
179,SYNCOMF,EQ,5
180,TATAPOWER,EQ,107
181,TCS,EQ,272
182,TEAMGTY,EQ,6
183,TEMBO,EQ,1
184,THANGAMAYL,EQ,3
185,TIPSMUSIC,EQ,51
186,TITAN,EQ,11
187,TMPV,EQ,472
188,TRITURBINE,EQ,1
189,TSFINV,EQ,1
190,TVSMNCRPS,P1,40
191,TVSMOTOR,EQ,2
192,UFBL,EQ,10
193,UNIONBANK,EQ,1
194,USHAMART,EQ,192
195,UTLSOLAR,EQ,830
196,VBL,EQ,2
197,VEDPOWER,EQ,2200
198,VELJAN,EQ,2696
199,VGL,EQ,571
200,VIJAYA,EQ,5
201,VIPIND,EQ,250
202,VISL,EQ,1314177
203,VOGL,EQ,75004
204,VSSL,EQ,3
205,WAAREEENER,EQ,48
206,WAAREERTL,EQ,1
207,WEBELSOLAR,EQ,50
208,WIPRO,EQ,3000
209,YESBANK,EQ,1314
210,ZFCVINDIA,EQ,300
