SYMBOL,SERIES,ISIN,Sec Desc,STT Indicator                                                                                                             
VF1DD,MF,INF903J011A5,SUNDARMAMC - VF1DD,EF                                                                                                           
CPSEETF,EQ,INF457M01133,CPSE ETF,EF                                                                                                                   
SMF541,MF,INF903J01M28,SUNDARMAMC - SMF541,EF                                                                                                         
T5RD,MF,INF903J019C4,SUNDARMAMC - T5RD,EF                                                                                                             
EC3DD,MF,INF903JA1DE9,SUNDARMAMC - EC3DD,EF                                                                                                           
AJOONI-RE,BL,INE820Y20013,AJOONI BIOTECH LIMITED,RE                                                                                                   
MITTAL-RE,BE,INE997Y20019,MITTAL LIFE STYLE LIMITED,RE                                                                                                
SMALLIETF,BL,INF109K1A476,ICICIPRAMC - SMALLIETF,EF                                                                                                   
GROWWPSE,EQ,INF666M01NQ3,GROWWAMC - GROWWPSE,EF                                                                                                       
LICNMID100,BL,INF767K01RN1,LICNAMC - LICNMID100,EF                                                                                                    
PATINT-RE2,BL,INE529D20030,PATEL INTEGRATED LOGISTIC,RE                                                                                               
ORIENT-RE,BE,INE998H20012,ORIENTAL TRIMEX LIMITED,RE                                                                                                  
MOLOWVOL,BL,INF247L01BL0,MOTILALAMC - MOLOWVOL,EF                                                                                                     
MC1RG,MF,INF903JA1DR1,SUNDARMAMC - MC1RG,EF                                                                                                           
SBIMIDMOM,EQ,INF200KB1AJ0,SBIAMC - SBIMIDMOM,EF                                                                                                       
MC2RG,MF,INF903JA1ED9,SUNDARMAMC - MC2RG,EF                                                                                                           
QSIFAARG,SF,INF966L30217,QUANT AMC - QSIFAARG,EF                                                                                                      
M15RD,MF,INF903JA1AM8,SUNDARMAMC - M15RD,EF                                                                                                           
UTINEXT50,EQ,INF789F1AUW9,UTIAMC-NEXT50BETA,EF                                                                                                        
CAPTRU-RE,BL,INE707C20018,CAPITAL TRUST LTD,RE                                                                                                        
PNB-RE,BE,INE572E20012,PNB HOUSING FIN LTD.,RE                                                                                                        
IBULHSGFIN,W1,INE148I13017,INDIABULLS HSG FIN LTD,RE                                                                                                  
EQUAL50,EQ,INF769K01OO2,MIRAEAMC - EQUAL50,EF                                                                                                         
LLOYDS-RE1,BL,INE093R20029,LLOYDS ENG WORKS LTD,RE                                                                                                    
SOLARA-RE,BE,INE624Z20016,SOLARA ACTIVE PHA SCI LTD,RE                                                                                                
ASIAN-RE1,BL,INE022I20027,ASIAN GRANITO INDIA LIMIT,RE                                                                                                
AONETOTAL,EQ,INF1J2R01015,AONEAMC - AONETOTAL,EF                                                                                                      
NDTV-RE,BE,INE155G20011,NEW DELHI TELEVISION LTD,RE                                                                                                   
MNC,BL,INF174KA1JF2,KOTAKMAMC - KOTAKMNC,EF                                                                                                           
NANDANI-RE,BL,INE696V20013,NANDANI CREATION LTD,RE                                                                                                    
ABSLBANETF,BL,INF209KB17D5,BIRLASLAMC - ABSLBANETF,EF                                                                                                 
GRASIM-RE,BE,INE047A20013,GRASIM IND LTD,RE                                                                                                           
HATSUN-RE,BE,INE473B20019,HATSUN AGRO PROD LTD-RE,RE                                                                                                  
DELPH-RE,BE,INE726L20019,ELPHI WORLD MONEY LTD,RE                                                                                                     
MOREALTY,EQ,INF247L01CI4,MOTILALAMC - MOREALTY,EF                                                                                                     
MHLSRG,SF,INF200K30015,SBIAMC - MHLSRG,EF                                                                                                             
MHLSDD,SF,INF200K30056,SBIAMC - MHLSDD,EF                                                                                                             
544653,MF,INF277K30021,Tata Mutual Fund,EF                                                                                                            
ICICITECH,EQ,INF109KC16I6,ICICIPRAMC - ICICITECH,EF                                                                                                   
MAHLIFE-RE,BE,INE813A20018,MAHINDRA LIFESPACE RE,RE                                                                                                   
ICICI500,BL,INF109KC1V59,ICICIPRAMC - ICICI500,EF                                                                                                     
GDL-RE,BL,INE852F20015,GATEWAY DISTRIPARKS RE,RE                                                                                                      
ENERGY,BL,INF769K01PR2,MIRAEAMC - ENERGY,EF                                                                                                           
LIBAS-RE,BE,INE908V20012,LIBAS CON PRODUCT LTD,RE                                                                                                     
DIL-RE,BE,INE411Y20011,DEBOCK INDUSTRIES LIMITED,RE                                                                                                   
HDFCLOWVOL,EQ,INF179KC1HU8,HDFCAMC - HDFCLOWVOL,EF                                                                                                    
MID150BEES,EQ,INF204KB1V68,NIP IND ETF MIDCAP 150,EF                                                                                                  
NIF100BEES,EQ,INF204K014N5,NIP IND ETF NIFTY 100,EF                                                                                                   
LOWVOL,EQ,INF769K01JU9,MIRAEAMC - MANV30F,EF                                                                                                          
NIFTYQLITY,BL,INF209KB15K4,BIRLASLAMC - NIFTYQLITY,EF                                                                                                 
539031,BL,INF200KA1572,SBI Mutual Fund,EF                                                                                                             
540154,EQ,INF194KA1T91,Bandhan Mutual Fund,EF                                                                                                         
540154,BL,INF194KA1T91,Bandhan Mutual Fund,EF                                                                                                         
COAST-RE,BL,INE377E20016,COASTAL CORP LIMITED-RE,RE                                                                                                   
HDFCQUAL,EQ,INF179KC1DL6,HDFCAMC - HDFCQUAL,EF                                                                                                        
GAL-RE,BE,INE482J20013,GYSCOAL ALLOYS LTD,RE                                                                                                          
PATEL-RE,BL,INE244B20014,PATEL ENGINEERING LIMITED,RE                                                                                                 
CGCL-RE,BL,INE180C20018,CAPRI GLOBAL CAP LTD,RE                                                                                                       
SEPC-RE,BL,INE964H20014,SEPC LIMITED,RE                                                                                                               
IRBIT-RE,ID,INE0C8K20042,IRB INFRA TRU RE,RE                                                                                                          
MARSHAL-RE,BL,INE00SZ20018,MARSHALL MACHINES LIMITED,RE                                                                                               
MIDCAPIETF,EQ,INF109KC11W8,ICICIPRAMC - ICICIM150,EF                                                                                                  
HEALTHIETF,EQ,INF109KC1Q72,ICICIPRAMC - ICICIPHARM,EF                                                                                                 
FMCGIETF,EQ,INF109KC19V3,ICICIPRAMC - ICICIFMCG,EF                                                                                                    
PSUBNKIETF,EQ,INF109KC10S8,ICICIPRAMC - PSUBANKICI,EF                                                                                                 
PVTBANIETF,EQ,INF109KC18U7,ICICIPRAMC - ICICIBANKP,EF                                                                                                 
PVTBANIETF,BL,INF109KC18U7,ICICIPRAMC - ICICIBANKP,EF                                                                                                 
HDFCPSUBK,EQ,INF179KC1HW4,HDFCAMC HDFCPSUBK,EF                                                                                                        
HDFCPSUBK,BL,INF179KC1HW4,HDFCAMC HDFCPSUBK,EF                                                                                                        
HCC-RE,BL,INE549A20018,HINDUSTAN CONSTRUCTION CO,RE                                                                                                   
NIRMAN-RE,ST,INE0OK720014,NIRMAN AGRI GENTICS LTD,RE                                                                                                  
ATAL-RE,BL,INE0ALR20011,ATAL REALTECH LIMITED,RE                                                                                                      
AKSH-RE,BE,INE256Z20017,AKSHAR SPINTEX LIMITED,RE                                                                                                     
EBANKNIFTY,BL,INF754K01TE4,EDELAMC - EBANKNIFTY,EF                                                                                                    
SADHNAN-RE,BE,INE888C20016,SADHANA NITROCHEM LIMITED,RE                                                                                               
AVON-RE,BE,INE323B20016,AVONMORE CAPITAL,RE                                                                                                           
GROWWN200,EQ,INF666M01JV1,GROWWAMC - GROWWN200,EF                                                                                                     
MON50EQUAL,EQ,INF247L01FC0,MOTILALAMC - MON50EQUAL,EF                                                                                                 
GROWWPOWER,EQ,INF666M01LM6,GROWWAMC - GROWWPOWER,EF                                                                                                   
LLOYDSE-RE,BE,INE080I20017,LLOYDS ENTERPRISES LTD,RE                                                                                                  
SILGO-RE1,BE,INE01II20021,SILGO RETAIL LTD,RE                                                                                                         
ISIFHLSDG,SF,INF109K30026,ICICIPRAMC - ISIFHLSDG,EF                                                                                                   
ABSLMSCIN,BL,INF209KC1662,BIRLASLAMC - ABSLMSCIN,EF                                                                                                   
M17RG,MF,INF903JA1BF0,SUNDARMAMC - M17RG,EF                                                                                                           
EC4RG,MF,INF903JA1DN0,SUNDARMAMC - EC4RG,EF                                                                                                           
NAVINIFTY,BL,INF959L01HI3,NAVIAMC - NAVINIFTY,EF                                                                                                      
NAVINIFTY,EQ,INF959L01HI3,NAVIAMC - NAVINIFTY,EF                                                                                                      
538593,MF,INF204KA1RW4,RELIANCE MUTUAL FUND- RELIANCE,EF                                                                                              
MOMENTUM30,BL,INF174KA1XS6,KOTAKMAMC - MOMENTUM30,EF                                                                                                  
VCL-RE,BE,INE098220010,VAXTEX COTFAB LIMITED,RE                                                                                                       
EQUAL50ADD,BL,INF740KA1QK2,DSPAMC - DSPNEWETF,EF                                                                                                      
ACCENT-RE,ST,INE0Q5D20013,ACCENT MICROCELL LTD,RE                                                                                                     
HDFCSENSEX,EQ,INF179KC1HX2,HDFCAMC - HDFCSENSEX,EF                                                                                                    
SBINMID150,EQ,INF200KB1AK8,SBIAMC - SBINMID150,EF                                                                                                     
EMULTIMQ,BL,INF754K01TF1,EDELAMC - EMULTIMQ,EF                                                                                                        
INOXWI-RE,BE,INE066P20011,INOX WIND LTD,RE                                                                                                            
NV20,BL,INF174KA1ZE1,KOTAKMAMC - KTKNV20ETF,EF                                                                                                        
NV20,EQ,INF174KA1ZE1,KOTAKMAMC - KTKNV20ETF,EF                                                                                                        
ALPHA,BL,INF174KA1IA5,KOTAKMAMC - KOTAKALPHA,EF                                                                                                       
SOBHA-RE,BL,INE671H20015,SOBHA LTD-RE,RE                                                                                                              
SBINEQWETF,BL,INF200KB1282,SBIAMC - SBINEQWETF,EF                                                                                                     
NACL-RE,BL,INE295D20012,NACL INDUSTRIES LTD,RE                                                                                                        
COMP-RE,BE,INE070C20011,COMPUAGE INFOCOM LTD,RE                                                                                                       
SBIETFCON,EQ,INF200KA1X17,SBIAMC - SBIETFCON,EF                                                                                                       
GISO-RE,BL,INE065J20016,GI ENGINEERING SOLUTIONS,RE                                                                                                   
