Security Wise Delivery Position - Compulsory Rolling Settlement
10,MTO,02072026,1980061622,0003156
Trade Date <02-JUL-2026>,Settlement Type <N>
Record Type,Sr No,Name of Security,Quantity Traded,Deliverable Quantity(gross across client level),% of Deliverable Quantity to Traded Quantity
20,1,1003ISFL28,N4,39,39,100.00
20,2,1003SCL30A,NV,60,60,100.00
20,3,1015ECL29,NR,9,8,88.89
20,4,1015SCL29B,N1,29,29,100.00
20,5,1015SCL30,N1,9,9,100.00
20,6,1015UCL27,NF,2,2,100.00
20,7,1025PATE28,N0,2,2,100.00
20,8,1025SCL35A,N1,48,48,100.00
20,9,1025VCCL28,N0,3,3,100.00
20,10,1030SFIL28,NM,17,17,100.00
20,11,1040UCL27B,N1,42,42,100.00
20,12,1050ISFL28,N5,500,500,100.00
20,13,1050NFL26,N7,10,10,100.00
20,14,105IIFL29,N7,128,128,100.00
20,15,1060ECL29,NS,125,125,100.00
20,16,1065NFL27,NC,595,595,100.00
20,17,1075SCFL34,Z6,100,100,100.00
20,18,1075SCL34T,N1,10,10,100.00
20,19,1075WCA28,N0,15,11,73.33
20,20,10IIFL28,N4,99,99,100.00
20,21,10IIFL28A,NE,510,510,100.00
20,22,10IIFL29,N6,176,151,85.80
20,23,10NIDO26,N6,1,1,100.00
20,24,1102NFL26,N8,12,12,100.00
20,25,1119NFL27,ND,50,50,100.00
20,26,111ESFB31,N0,1,1,100.00
20,27,1150AFIL28,N0,3,3,100.00
20,28,115VCCL28,N0,1,1,100.00
20,29,1165ESFB32,N0,2,2,100.00
20,30,1225IFL27,N0,34,34,100.00
20,31,1225IFL28,N0,4,4,100.00
20,32,125VCCL31,N0,5,5,100.00
20,33,12AFIL27,N0,1,1,100.00
20,34,12AFIL27A,N0,3,3,100.00
20,35,12AFIL28,N0,39,39,100.00
20,36,12VCCL27,N0,1,1,100.00
20,37,12VCCL27D,N0,2,2,100.00
20,38,12VCCL29B,N0,4,4,100.00
20,39,182D081026,TB,6000,6000,100.00
20,40,182D180926,TB,11300,11300,100.00
20,41,182D241226,TB,4700,4700,100.00
20,42,20MICRONS,EQ,108892,48698,44.72
20,43,21STCENMGM,EQ,4582,4269,93.17
20,44,360ONE,EQ,905046,485053,53.59
20,45,364D030926,TB,200,200,100.00
20,46,364D080427,TB,2700,2700,100.00
20,47,364D090726,TB,500,500,100.00
20,48,364D100627,TB,14300,14300,100.00
20,49,364D110327,TB,3000,3000,100.00
20,50,364D150427,TB,3000,3000,100.00
20,51,364D160726,TB,400,200,50.00
20,52,364D170926,TB,500,500,100.00
20,53,364D200826,TB,4000,4000,100.00
20,54,364D220427,TB,200,200,100.00
20,55,364D240627,TB,4700,4700,100.00
20,56,364D280527,TB,2400,2400,100.00
20,57,364D300726,TB,20100,20000,99.50
20,58,3BBLACKBIO,EQ,2293,1360,59.31
20,59,3IINFOLTD,EQ,347711,196387,56.48
20,60,3MINDIA,EQ,2869,1413,49.25
20,61,3PLAND,EQ,3074,2377,77.33
20,62,5PAISA,EQ,327646,107619,32.85
20,63,610GS2031,GS,1,1,100.00
20,64,63MOONS,EQ,101251,50076,49.46
20,65,645GS2029,GS,3800,3800,100.00
20,66,648GS2035,GS,3176,2675,84.23
20,67,667GS2050,GS,5000,5000,100.00
20,68,668GS2040,GS,3178,3171,99.78
20,69,669GJ34,SG,100,100,100.00
20,70,676GS2061,GS,1237,1237,100.00
20,71,679GS2031,GS,1650,1650,100.00
20,72,679GS2034,GS,1100,1100,100.00
20,73,68GS2060,GS,303,303,100.00
20,74,690GS2065,GS,12353,11352,91.90
20,75,694GS2036,GS,501,501,100.00
20,76,695GS2061,GS,316,316,100.00
20,77,699GS2051,GS,1406,1406,100.00
20,78,704GS2029,GS,22700,10000,44.05
20,79,706GS2028,GS,4699,2400,51.07
20,80,709GS2054,GS,37715,21642,57.38
20,81,709GS2074,GS,40253,34141,84.82
20,82,710GS2029,GS,1100,1000,90.91
20,83,717GS2028,GS,295,220,74.58
20,84,717GS2030,GS,373,373,100.00
20,85,718GS2037,GS,24500,24500,100.00
20,86,71GS2034,GS,17000,17000,100.00
20,87,720PFCL36,N6,440,440,100.00
20,88,723GS2039,GS,7671,7671,100.00
20,89,724GS2055,GS,18215,18215,100.00
20,90,725GS2063,GS,77145,76145,98.70
20,91,726GS2032,GS,16962,16075,94.77
20,92,726GS2033,GS,770,760,98.70
20,93,730PFCL41,NC,125,125,100.00
20,94,733GS2026,GS,446,323,72.42
20,95,734GS2064,GS,43946,36045,82.02
20,96,735NHAI31,N9,250,250,100.00
20,97,736GS2052,GS,840,840,100.00
20,98,737CG31,SG,600,600,100.00
20,99,737GS2028,GS,100,100,100.00
20,100,738GS2027,GS,57767,56767,98.27
20,101,738REC27TF,N2,2005,2000,99.75
20,102,739NHAI31A,ND,1227,1226,99.92
20,103,73GS2053,GS,7320,7313,99.90
20,104,741GS2036,GS,16845,16345,97.03
20,105,743GS2076,GS,8500,8500,100.00
20,106,743REC35,NH,15,15,100.00
20,107,746GS2073,GS,5000,5000,100.00
20,108,74GS2035,GS,399,399,100.00
20,109,74GS2062,GS,4263,3111,72.98
20,110,750GS2056,GS,400,400,100.00
20,111,751HUDCO28,N5,20,10,50.00
20,112,753IRFC30,NJ,1305,1155,88.51
20,113,754GS2036,GS,420352,420348,100.00
20,114,764HUDCO31,N8,1,1,100.00
20,115,764IRFC31,NO,13,13,100.00
20,116,764NABAR31,N2,45,35,77.78
20,117,769NHAI31,NE,1051,1051,100.00
20,118,76NHAI31,NA,651,651,100.00
20,119,772GS2049,GS,200,200,100.00
20,120,774IREDA31,N7,7,6,85.71
20,121,797IGT31,NL,385,385,100.00
20,122,79NHIT35,N1,1568,964,61.48
20,123,79NHIT40,N2,72,72,100.00
20,124,79NHIT47,N3,2489,2408,96.75
20,125,7PFCL31,N3,12,12,100.00
20,126,805ABCL28,N5,50,50,100.00
20,127,805NMC29,N1,45,45,100.00
20,128,805NMC34,N6,25,25,100.00
20,129,810IRFC27,N2,186,185,99.46
20,130,812REC27,NI,1426,1412,99.02
20,131,81ABCL33,N4,15,15,100.00
20,132,81TCHF28,N8,25,25,100.00
20,133,820IIFL27,N9,90,90,100.00
20,134,828GS2027,GS,2,2,100.00
20,135,82HUDCO27,N2,970,969,99.90
20,136,82IGT31,NJ,120,110,91.67
20,137,830NHAI27,N2,1473,878,59.61
20,138,830PFCL27,N5,300,300,100.00
20,139,835SCL23B,YM,100,100,100.00
20,140,837IIFL28,Y4,10,10,100.00
20,141,842IIFL26,NL,577,437,75.74
20,142,850HMDA32,N0,5,5,100.00
20,143,851HUDCO28,NB,613,612,99.84
20,144,852IIFL29,Y5,51,51,100.00
20,145,860AEL28,NH,62,62,100.00
20,146,862AEL31,NM,244,133,54.51
20,147,863REC29,NC,443,443,100.00
20,148,865IIFL28,NS,293,293,100.00
20,149,865IIFL31,Y6,3,2,66.67
20,150,865IRFC29,NA,240,240,100.00
20,151,865LTF26,NN,10,10,100.00
20,152,865MFL31,N0,10,10,100.00
20,153,865TCAPS27,N8,419,333,79.47
20,154,867PFCL33,N7,148,148,100.00
20,155,870IIFL28,Y7,60,35,58.33
20,156,871REC28,N9,571,571,100.00
20,157,873NTPC28,N5,8,8,100.00
20,158,875AEL29,NK,264,264,100.00
20,159,875IIFL26,NM,50,50,100.00
20,160,875NHAI29,N6,853,490,57.44
20,161,875PF26,N8,40,40,100.00
20,162,875SFL27,ZF,15,15,100.00
20,163,876HUDCO28,ND,1895,1870,98.68
20,164,879NHPC28,N5,80,80,100.00
20,165,87LTF27,NH,75,75,100.00
20,166,880IREDA29,N5,1,1,100.00
20,167,885AEL28,NB,20,20,100.00
20,168,888ECL28,N1,253,253,100.00
20,169,888IRFC29,NE,539,354,65.68
20,170,888REC29,NF,586,586,100.00
20,171,889SCL26,NS,765,765,100.00
20,172,890AEL31,NN,161,161,100.00
20,173,891NTPC33,N6,362,362,100.00
20,174,892NHPC33,N6,5,5,100.00
20,175,892PFCL33,N8,711,533,74.96
20,176,897GS2030,GS,1000,1000,100.00
20,177,898LTF29,N7,64,54,84.38
20,178,8SMC29,N1,44,44,100.00
20,179,8SMC30,N2,100,100,100.00
20,180,901NHB34,N6,86,86,100.00
20,181,902SCL27Q,N1,50,50,100.00
20,182,903SFL28,YI,8,8,100.00
20,183,905PFL26,N1,290,290,100.00
20,184,910TCAP28,NA,110,110,100.00
20,185,915AEL28,NC,738,716,97.02
20,186,915APSBC27,N0,2,2,100.00
20,187,915APSBC31,N0,1,1,100.00
20,188,915APSBC33,N0,6,6,100.00
20,189,915APSBC34,N0,20,20,100.00
20,190,915SCL26,NE,190,190,100.00
20,191,91D030926,TB,700,700,100.00
20,192,91D100926,TB,8400,8400,100.00
20,193,91D230726,TB,700,700,100.00
20,194,91D280826,TB,100,100,100.00
20,195,91MOFSL27,N2,20,20,100.00
20,196,91SFL27,ZI,40,40,100.00
20,197,920ISF28B,N0,4,4,100.00
20,198,925ECL28,N2,21,21,100.00
20,199,925ISF28,N0,171,171,100.00
20,200,925SCFL27,YA,50,50,100.00
20,201,925SCL29A,ZM,100,100,100.00
20,202,925SCL30A,NH,107,107,100.00
20,203,92GS2030,GS,14554,14552,99.99
20,204,930AEL30,NF,140,140,100.00
20,205,930APMD29,N0,14,14,100.00
20,206,930APMD31,N0,9,9,100.00
20,207,930APMD32,N0,2,2,100.00
20,208,930APMD35,N0,2,2,100.00
20,209,930SFL28,YP,89,89,100.00
20,210,935IIFL28,NZ,11,11,100.00
20,211,943ECL28,NJ,35,35,100.00
20,212,945SCL32,NL,34,34,100.00
20,213,948SCL26A,NN,6,5,83.33
20,214,948SCL27D,N1,2,2,100.00
20,215,94SFL28,YL,179,179,100.00
20,216,957ISFL26,N2,1,1,100.00
20,217,957NIDO26,N5,53,53,100.00
20,218,965SCL26F,N1,34,34,100.00
20,219,965SCL30,ND,22,22,100.00
20,220,96IIFL28,N5,256,255,99.61
20,221,96IIFL28A,NF,2089,2064,98.80
20,222,970CAGL28,ND,522,522,100.00
20,223,971SCL28,AN,6,6,100.00
20,224,971SCL30,N1,610,610,100.00
20,225,975IIFL28,Y0,74,74,100.00
20,226,975ISF28,N0,5,5,100.00
20,227,975SCL28,NT,183,106,57.92
20,228,97SFL26,Z9,391,391,100.00
20,229,985ECL28,NK,309,300,97.09
20,230,99AEL29,N7,6,6,100.00
20,231,9IHFL27,N1,61,61,100.00
20,232,9IIFL28,Y0,20,20,100.00
20,233,9IIFL28A,NT,295,200,67.80
20,234,9SCL26BA,NA,15,15,100.00
20,235,9SCL27,N2,10,10,100.00
20,236,A2ZINFRA,EQ,209016,175644,84.03
20,237,AAATECH,EQ,61056,25088,41.09
