Sr. No,Symbol,Series,Security Name,From,To
1,ACCURACY,BE,ACCURACY SHIPPING LIMITED,10,5
2,LYKALABS,BE,LYKA LABS LIMITED,10,5
3,SETL,EQ,STANDARD ENGINEERING TECHNOLOGY LIMITED,10,5
4,AKSHARCHEM,BE,AKSHARCHEM INDIA LIMITED,20,5
5,BASML,BE,BANNARI AMMAN SPINNING MILLS LIMITED,20,5
6,DPWIRES,BE,D P WIRES LIMITED,20,5
7,EVERESTIND,BE,EVEREST INDUSTRIES LIMITED,20,5
8,FOCUS,BE,FOCUS LIGHTING AND FIXTURES LIMITED,20,5
9,GOLDTECH,BE,AION-TECH SOLUTIONS LIMITED,20,5
10,GUJENERGY,BE,GUJARAT ENERGY LIMITED,20,5
11,PPL,BE,PRAKASH PIPES LIMITED,20,5
12,SAAKSHI,ST,SAAKSHI MEDTECH AND PANELS LIMITED,20,5
13,TAMBOLIIN,BE,TAMBOLI INDUSTRIES LIMITED,20,5
14,UNIVASTU,BE,UNIVASTU INDIA LIMITED,20,5
15,VELJAN,EQ,VELJAN DENISON LIMITED,20,10
16,AVATAR,ST,AVATAR INDUSTRIES LIMITED,5,2
17,BAFNAPH,BE,BAFNA PHARMACEUTICALS LIMITED,5,2
18,NAMOEWASTE,ST,NAMO EWASTE MANAGEMENT LIMITED,5,2
19,SUPERSPIN,BE,SUPER SPINNING MILLS LIMITED,5,2
20,UCL,ST,USHANTI COLOUR CHEM LIMITED,5,2
21,UTKAL,SM,UTKAL SPECIALITY INDUSTRIES INDIA LIMITED,5,10
22,VIKRAMSOLR,EQ,VIKRAM SOLAR LIMITED,5,20
