"Security Name","Symbol Name","Trade Date","Quantity"
"ADANI GREEN ENERGY LTD","ADANIGREEN","01-Jul-2026","295"
"HDFC AMC LIMITED","HDFCAMC","01-Jul-2026","24"
"GENUS POWER INFRASTRU LTD","GENUSPOWER","01-Jul-2026","7"
"BANK OF BARODA","BANKBARODA","01-Jul-2026","5000"
"MULTI COMMODITY EXCHANGE OF INDIA LIMITED","MCX","01-Jul-2026","42"
"RELIANCE INDUSTRIES LTD","RELIANCE","01-Jul-2026","44"
"BHARAT FORGE LTD","BHARATFORG","01-Jul-2026","9467"
"Oracle Financial Services Software Limited","OFSS","01-Jul-2026","200"
"CUMMINS INDIA LTD","CUMMINSIND","01-Jul-2026","99"
"PB FINTECH LIMITED","POLICYBZR","01-Jul-2026","6"
"POWER GRID CORP. LTD.","POWERGRID","01-Jul-2026","19"
"COLGATE PALMOLIVE LTD.","COLPAL","01-Jul-2026","1"
"VENUS PIPES & TUBES LTD","VENUSPIPES","01-Jul-2026","50"
"KPIT TECHNOLOGIES LTD","KPITTECH","01-Jul-2026","125"
"OBEROI REALTY LIMITED","OBEROIRLTY","01-Jul-2026","1"
"VIJAYA DIAGNOSTIC CEN LTD","VIJAYA","01-Jul-2026","5"
"LIFE INSURA CORP OF INDIA","LICI","01-Jul-2026","300"
"SUN PHARMA ADV.RES.CO.LTD","SPARC","01-Jul-2026","39"
"KOTAK MAHINDRA BANK LTD","KOTAKBANK","01-Jul-2026","2000"
"BIOCON LIMITED.","BIOCON","01-Jul-2026","130"
"MAX HEALTHCARE INS LTD","MAXHEALTH","01-Jul-2026","525"
"BSE LIMITED","BSE","01-Jul-2026","29"
"MIRAEAMC - MAM150ETF","MIDCAPETF","01-Jul-2026","2305590"
"LODHA","LODHA","01-Jul-2026","20"
"CANARA BANK","CANBK","01-Jul-2026","1582"
"SBI CARDS & PAY SER LTD","SBICARD","01-Jul-2026","19"
"FEDERAL BANK LTD","FEDERALBNK","01-Jul-2026","1418"
"TRENT LIMITED","TRENT","01-Jul-2026","268"
"BHARTI AIRTEL LIMITED","BHARTIARTL","01-Jul-2026","25"
"UNITED FOODBRANDS LIMITED","UFBL","01-Jul-2026","10"
"SASKEN COMMU TECHNO LTD","SASKEN","01-Jul-2026","535"
"BHEL","BHEL","01-Jul-2026","2015"
"ADANI ENTERPRISES LIMITED","ADANIENT","01-Jul-2026","1343"
"PAGE INDUSTRIES LTD","PAGEIND","01-Jul-2026","5"
"MOREPEN LAB. LTD         ","MOREPENLAB","01-Jul-2026","900"
"GRASIM INDUSTRIES LTD","GRASIM","01-Jul-2026","93"
"WIPRO LTD","WIPRO","01-Jul-2026","111425"
"COCHIN SHIPYARD LIMITED","COCHINSHIP","01-Jul-2026","904"
"INDIAN RENEWABLE ENERGY","IREDA","01-Jul-2026","960"
"JIO FIN SERVICES LTD","JIOFIN","01-Jul-2026","120"
"PERSISTENT SYSTEMS LTD","PERSISTENT","01-Jul-2026","28"
"BAJAJ AUTO LIMITED","BAJAJ-AUTO","01-Jul-2026","2"
"AU SMALL FINANCE BANK LIMITED","AUBANK","01-Jul-2026","1358"
"RITES LIMITED","RITES","01-Jul-2026","240"
"GMR AIRPORTS LIMITED","GMRAIRPORT","01-Jul-2026","90"
"INDIAN ENERGY EXCHANGE LIMITED","IEX","01-Jul-2026","80"
"KFIN TECHNOLOGIES LIMITED","KFINTECH","01-Jul-2026","105"
"SAMMAAN CAPITAL LIMITED","SAMMAANCAP","01-Jul-2026","2"
"THANGAMAYIL JEWELLERY LTD","THANGAMAYL","01-Jul-2026","4"
"COFORGE LIMITED","COFORGE","01-Jul-2026","4510"
"REFEX INDUSTRIES LIMITED","REFEX","01-Jul-2026","750"
"GNG ELECTRONICS LIMITED","EBGNG","01-Jul-2026","3479"
"INTERGLOBE AVIATION LTD  ","INDIGO","01-Jul-2026","19"
"HINDUSTAN UNILEVER LTD.","HINDUNILVR","01-Jul-2026","189"
"ICICI BANK LTD.","ICICIBANK","01-Jul-2026","3733"
"HINDUSTAN PETROLEUM CORP","HINDPETRO","01-Jul-2026","245"
"ETERNAL LIMITED","ETERNAL","01-Jul-2026","13007"
"ONE 97 COMMUNICATIONS LTD","PAYTM","01-Jul-2026","909"
"HDFC BANK LTD","HDFCBANK","01-Jul-2026","418"
"SUZLON ENERGY LIMITED","SUZLON","01-Jul-2026","2975"
"TATA POWER CO LTD","TATAPOWER","01-Jul-2026","107"
"WAAREE ENERGIES LIMITED","WAAREEENER","01-Jul-2026","50"
"MIRAEAMC - METAL","METAL","01-Jul-2026","1"
"HERO MOTOCORP LTD","HEROMOTOCO","01-Jul-2026","287"
"ICICI LOMBARD GENERAL INSURANCE COMPANY LIMITED","ICICIGI","01-Jul-2026","42"
"INFO EDGE (I) LTD","NAUKRI","01-Jul-2026","77"
"WEBSOL ENERGY SYSTEM LTD","WEBELSOLAR","01-Jul-2026","50"
"HIMACHAL FUTURISTIC COMMUNICATIONS LIMITED","HFCL","01-Jul-2026","10"
"DELHIVERY LIMITED","DELHIVERY","01-Jul-2026","1000"
"RELIANCE POWER LTD.","RPOWER","01-Jul-2026","1"
"DABUR INDIA LTD","DABUR","01-Jul-2026","1"
"INFOSYS TECHNOLOGIES LTD","INFY","01-Jul-2026","1"
"EDELWEISS FIN SERV LTD","EDELWEISS","01-Jul-2026","100"
"ZEE ENTERTAINMENT ENT LTD","ZEEL","01-Jul-2026","4850"
"MARUTI SUZUKI INDIA LTD.","MARUTI","01-Jul-2026","172"
"BAJAJ FINANCE LIMITED","BAJFINANCE","01-Jul-2026","1790"
"ZF COM VE CTR SYS IND LTD","ZFCVINDIA","01-Jul-2026","300"
"NESTLE INDIA LIMITED","NESTLEIND","01-Jul-2026","4"
"JASH ENGINEERING LIMITED","JASH","01-Jul-2026","3"
"MOSCHIP TECHNOLOGIES LTD","MOSCHIP","01-Jul-2026","1"
"GABRIEL INDIA LTD","GABRIEL","01-Jul-2026","150"
"VARUN BEVERAGES LIMITED    ","VBL","01-Jul-2026","77"
"BHARAT DYNAMICS LIMITED","BDL","01-Jul-2026","14"
"STEEL AUTHORITY OF INDIA","SAIL","01-Jul-2026","9"
"TATA MOTORS PASS VEH LTD","TMPV","01-Jul-2026","472"
"ADANI PORT & SEZ LTD","ADANIPORTS","01-Jul-2026","204"
"PARAS DEF AND SPCE TECH L","PARAS","01-Jul-2026","5"
"PRESTIGE ESTATES PROJECTS LIMITED","PRESTIGE","01-Jul-2026","1"
"HINDUSTAN CONSTRUCTION CO","HCC","01-Jul-2026","5"
"SRF LTD","SRF","01-Jul-2026","10"
"HEG LIMITED","HEG","01-Jul-2026","2000"
"BOSCH LIMITED","BOSCHLTD","01-Jul-2026","338"
"ASTRAL POLY TECHNIK LIMITED","ASTRAL","01-Jul-2026","20"
"MEDPLUS HEALTH SERV LTD","MEDPLUS","01-Jul-2026","30"
"MSP STEEL & POWER LTD.","MSPL","01-Jul-2026","2103"
"ITC LTD","ITC","01-Jul-2026","875"
"AJANTA PHARMA LIMITED","AJANTPHARM","01-Jul-2026","10"
"MIRAEAMC - ITETF","ITETF","01-Jul-2026","544901"
"GOKALDAS EXPORTS LTD.","GOKEX","01-Jul-2026","36"
"ASIAN PAINTS LIMITED","ASIANPAINT","01-Jul-2026","218"
"AVENUE SUPERMARTS LIMITED","DMART","01-Jul-2026","1050"
"NATIONAL BUILDINGS LTD   ","NBCC","01-Jul-2026","26"
"SWIGGY LIMITED","SWIGGY","01-Jul-2026","11283"
"YES BANK LIMITED","YESBANK","01-Jul-2026","1303"
"CHOLAMANDALAM IN & FIN CO","CHOLAFIN","01-Jul-2026","5"
"LENSKART SOLUTIONS LTD","LENSKART","01-Jul-2026","3"
"UNION BANK OF INDIA","UNIONBANK","01-Jul-2026","3800"
"EDELAMC -EBBETF0430","EBBETF0430","01-Jul-2026","5"
"KAYNES TECHNOLOGY IND LTD","KAYNES","01-Jul-2026","300"
"CEMINDIA PROJECTS LIMITED","CEMPRO","01-Jul-2026","2273"
"ALKEM LABORATORIES LTD.","ALKEM","01-Jul-2026","13"
"SAMVRDHNA MTHRSN INT","MOTHERSON","01-Jul-2026","5954"
"STATE BANK OF INDIA","SBIN","01-Jul-2026","5032"
"MTAR TECHNOLOGIES LIMITED","MTARTECH","01-Jul-2026","1"
"NHPC LTD","NHPC","01-Jul-2026","13"
"POWER FIN CORP LTD.","PFC","01-Jul-2026","1"
"PUNJAB NATIONAL BANK","PNB","01-Jul-2026","2750"
"DIXON TECHNO (INDIA) LTD","DIXON","01-Jul-2026","138"
"THE INDIAN HOTELS CO. LTD","INDHOTEL","01-Jul-2026","469"
"APL APOLLO TUBES LTD","APLAPOLLO","01-Jul-2026","27"
"TITAN INDUSTRIES LTD","TITAN","01-Jul-2026","11"
"L&T FINANCE LIMITED","LTF","01-Jul-2026","11"
"GODREJ PROPERTIES LTD","GODREJPROP","01-Jul-2026","1"
"DLF LIMITED","DLF","01-Jul-2026","300"
"FSN E COMMERCE VENTURES","NYKAA","01-Jul-2026","300"
