MARKET,SERIES,SYMBOL,SECURITY,PREV_CL_PR,OPEN_PRICE,HIGH_PRICE,LOW_PRICE,CLOSE_PRICE,NET_TRDVAL,NET_TRDQTY,CORP_IND,HI_52_WK,LO_52_WK
N,SM,AGUL,A G UNIVERSAL LIMITED,        63.90,        60.75,        60.75,        60.75,        60.75,                   121500.00,2000, ,        86.00,        48.70
N,SM,AAKAAR,AAKAAR MEDICAL TECHNO LTD,        71.70,        74.95,        74.95,        70.00,        72.60,                   692960.00,9600, ,       105.00,        46.00
N,SM,AARADHYA,AARADHYA DISPOSAL INDUS L,        78.00,        75.00,        75.05,        67.15,        70.40,                   791340.00,10800, ,       182.00,        67.15
N,SM,AATMAJ,AATMAJ HEALTHCARE LIMITED,        18.75,        18.75,        18.75,        18.75,        18.75,                   112500.00,6000, ,        25.50,        16.95
N,ST,ABSMARINE,ABS MARINE SERVICES LTD,       233.60,       233.65,       240.00,       233.65,       239.15,                 14240850.00,59500, ,       315.50,       143.05
N,SM,ACCENTMIC,ACCENT MICROCELL LIMITED,       496.30,       499.80,       508.90,       491.95,       497.60,                 30541475.00,61000, ,       508.90,       230.00
N,ST,ACCORD,ACCORD SYNERGY LIMITED,       154.15,       161.85,       161.85,       161.85,       161.85,                   971100.00,6000, ,       161.85,        19.85
N,ST,ACCPL,ACCRETION PHARMA LIMITED,       169.00,       165.25,       165.25,       160.55,       162.00,                 13533540.00,84000, ,       171.15,        53.80
N,SM,ACETEC,ACETECH E-COMMERCE LTD,       123.30,       118.00,       126.80,       118.00,       126.80,                 10064160.00,85200, ,       164.00,       111.80
N,SM,ADDICTIVE,ADDICTIVE LEARNING TECH L,        40.75,        42.65,        42.75,        42.00,        42.75,                  3055400.00,71500, ,       167.75,        38.85
N,SM,ADISOFT,ADISOFT TECHNOLOGIES LTD,       183.00,       183.00,       201.65,       183.00,       196.45,                 26719400.00,137600, ,       280.00,       182.00
N,SM,AUSL,ADITYA ULTRA STEEL LTD,        24.70,        25.90,        25.90,        25.90,        25.90,                   310800.00,12000, ,        48.30,        17.35
N,SM,AERON,AERON COMPOSITE LIMITED,        76.50,        77.95,        82.00,        77.95,        82.00,                  1585400.00,20000, ,       134.00,        70.00
N,SM,AESTHETIK,AESTHETIK ENGINEERS LTD,        73.45,        75.80,        75.80,        75.80,        75.80,                    75800.00,1000, ,       155.60,        59.60
N,SM,AGARWALTUF,AGARWAL TOUGH GLASS IND L,       132.00,       132.00,       136.90,       132.00,       132.00,                  6082500.00,45600, ,       174.05,        81.00
N,SM,AGNI,AGNI GREEN POWER LTD,        18.60,        18.60,        18.60,        17.80,        17.80,                   313750.00,17500, ,        43.35,        13.60
N,SM,AIMTRON,AIMTRON ELECTRONICS LTD,      1234.95,      1235.00,      1260.00,      1226.30,      1243.25,                 20169360.00,16200, ,      1343.00,       615.00
