Symbol,Series,Name,Band,Remarks
APSISAERO,ST,Apsis Aerocom Limited,2,"-"
ASCOM,ST,Ascom Leasing & Investments Limited,2,"-"
ATCENERGY,ST,ATC Energies System Limited,2,"-"
AVATAR,ST,AVATAR INDUSTRIES LIMITED,2,"-"
EXCELLENT,ST,Excellent Wires and Packaging Limited,2,"-"
GRCL,ST,Gayatri Rubbers And Chemicals Limited,2,"-"
GSTL,ST,Globesecure Technologies Limited,2,"-"
INNOMET,ST,Innomet Advanced Materials Limited,2,"-"
ITTL,ST,Innovative Tyres & Tubes Limited,2,"-"
NAMOEWASTE,ST,NAMO EWASTE MANAGEMENT LIMITED,2,"-"
NEWJAISA,ST,Newjaisa Technologies Limited,2,"-"
PRIZOR,ST,Prizor Viztech Limited,2,"-"
SAHASRA,ST,Sahasra Electronic Solutions Limited,2,"-"
TANKUP,ST,Tankup Engineers Limited,2,"-"
UCL,ST,USHANTI COLOUR CHEM LIMITED,2,"-"
UHTL,ST,United Heat Transfer Limited,2,"-"
AAKAAR,SM,Aakaar Medical Technologies Limited,5,"-"
ABSMARINE,ST,ABS Marine Services Limited,5,"-"
ACCORD,ST,Accord Synergy Limited,5,"-"
ACCPL,ST,Accretion Pharmaceuticals Limited,5,"-"
ADDICTIVE,SM,Addictive Learning Technology Limited,5,"-"
AGARWALFT,ST,Agarwal Float Glass India Limited,5,"-"
AGNI,SM,Agni Green Power Limited,5,"-"
AGUL,SM,A G Universal Limited,5,"-"
AHIMSA,ST,Ahimsa Industries Limited,5,"-"
AILIMITED,ST,Abhishek Integrations Limited,5,"-"
AISL,SM,ANI Integrated Services Limited,5,"-"
AKANKSHA,ST,Akanksha Power and Infrastructure Limited,5,"-"
AKIKO,ST,Akiko Global Services Limited,5,"-"
ALCODIS,ST,Alcokraft Distilleries Limited,5,"-"
ALLETEC,ST,All E Technologies Limited,5,"-"
AMBANIORGO,SM,AMBANI ORGOCHEM LIMITED,5,"-"
AMEYA,SM,Ameya Precision Engineers Limited,5,"-"
ANLON,ST,Anlon Technology Solutions Limited,5,"-"
APEXECO,ST,Apex Ecotech Limited,5,"-"
ARCIIL,ST,ARC Insulation & Insulators Limited,5,"-"
ARISTO,ST,Aristo Bio-Tech And Lifescience Limited,5,"-"
ARUNAYA,ST,Arunaya Organics Limited,5,"-"
ARVINDPORT,ST,ARVIND PORT AND INFRA LIMITED,5,"-"
ASPIRE,SM,Aspire & Innovative Advertising Limited,5,"-"
ATMASTCO,ST,Atmastco Limited,5,"-"
AUROIMPEX,SM,Auro Impex & Chemicals Limited,5,"-"
AUSL,SM,Aditya Ultra Steel Limited,5,"-"
AVANA,ST,Avana Electrosystems Limited,5,"-"
AVIENCE,ST,Avience Biomedicals Limited,5,"-"
AVPINFRA,SM,AVP Infracon Limited,5,"-"
AVSL,ST,AVSL Industries Limited,5,"-"
BALCO,ST,Solve Plastic Products Limited,5,"-"
BAWEJA,ST,Baweja Studios Limited,5,"-"
BDR,IT,BDR Buildcon Limited,5,"-"
BEACON,ST,Beacon Trusteeship Limited,5,"-"
BIKEWO,ST,Bikewo Green Tech Limited,5,"-"
BIRDYS,ST,Grill Splendour Services Limited,5,"-"
BLUEWATER,ST,Blue Water Logistics Limited,5,"-"
BOSS,SM,Boss Packaging Solutions Limited,5,"-"
BRANDMAN,ST,Brandman Retail Limited,5,"-"
BULKCORP,SM,Bulkcorp International Limited,5,"-"
CADSYS,ST,Cadsys (India) Limited,5,"-"
CBAZAAR,SM,Net Avenue Technologies Limited,5,"GSM STAGE - 0"
CEDAAR,ST,CEDAAR TEXTILE LIMITED,5,"-"
CELLECOR,ST,Cellecor Gadgets Limited,5,"-"
CHETANA,ST,Chetana Education Limited,5,"-"
CLASSICEIL,ST,Classic Electrodes (India) Limited,5,"-"
CLAYCRAFT,ST,Clay Craft India Limited,5,"-"
CMRSL,SM,Cyber Media Research & Services Limited,5,"-"
COMMITTED,ST,Committed Cargo Care Limited,5,"-"
CONTI,SM,Continental Seeds and Chemicals Limited,5,"-"
COOLCAPS,ST,Cool Caps Industries Limited,5,"-"
CPS,SM,C P S Shapers Limited,5,"-"
CRAYONS,SM,Crayons Advertising Limited,5,"-"
CUDML,ST,Cash Ur Drive Marketing Limited,5,"-"
DEEM,ST,Deem Roll Tech Limited,5,"-"
DELTIC,ST,Delta Autocorp Limited,5,"-"
DESTINY,SM,Destiny Logistics & Infra Limited,5,"-"
DHANSA,ST,Dhansa Labs Limited,5,"-"
DHTL,SM,Docmode Health Technologies Limited,5,"-"
DIRL,SM,Dhanuka Infra Realty Limited,5,"-"
DIVINEHIRA,ST,Divine Hira Jewellers Limited,5,"-"
DIVYADHAN,ST,Divyadhan Recycling Industries Limited,5,"-"
DPEL,SM,Divine Power Energy Limited,5,"-"
