1,ABLBL,INE14LE01019,98.29,12.61
2,AARTIPHARM,INE0LRU01027,697.2,17.76
3,ARSSBL,INE549H01021,568.8,14.45
4,DEEPAKNTR,INE288B01029,1572.4,12.35
5,THANGAMAYL,INE085J01014,6315.5,23.04
6,INDIAGLYCO,INE560A01023,1075.35,17
7,GVT&D,INE200A01026,4822.8,18.68
8,NFL,INE870D01012,75.3,15.14
9,VIKRAN,INE01R501028,74.82,17.64
10,MARUTI,INE585B01010,14348,9.64
11,HYUNDAI,INE0V6F01027,1950.7,10.96
12,SILVERAG,INF769K01KG6,220.31,22.65
13,BLUESTARCO,INE472A01039,1599.1,13.73
14,SGBJAN29IX,IN0020200377,14294.69,10
15,ITI,INE248A01017,299.7,19.01
16,PGEL,INE457L01029,561.1,21.75
17,PREMIERENE,INE0BS701011,1050.1,14.94
18,SGBSEP27,IN0020190115,14220,10
19,SKYGOLD,INE01IU01018,568.85,21.59
20,BECTORFOOD,INE495P01020,180.18,14.84
21,RECLTD,INE020B01018,369.6,13.43
22,SGBAUG27,IN0020190107,14251,10
23,GOKULAGRO,INE314T01033,211.62,19
24,FLUOROCHEM,INE09N301011,3972.6,12.66
25,GOLDCASE,INF0R8F01042,22.37,11.34
26,SILVERBETA,INF789F1AYK6,218.44,22.5
27,PAGEIND,INE761H01022,42885,9.91
28,EICHERMOT,INE066A01021,7250,11.12
29,NMDC,INE584A01023,85.57,12.67
30,KIRLOSENG,INE146L01010,2321.4,19.5
31,SAGILITY,INE0W2G01015,41.25,14.55
32,MOIL,INE490G01020,277.1,16.83
33,ANANTRAJ,INE242C01024,537.65,20.91
34,ETERNAL,INE758T01015,279.7,15.07
35,LMW,INE269B01029,15786,12.41
36,TIINDIA,INE974X01010,3090.6,14.61
37,CHAMBLFERT,INE085A01013,477.05,13.14
38,KIRLPNU,INE811A01020,1863.5,17.59
39,JSWCEMENT,INE718I01012,136.24,10.25
40,HSCL,INE019C01026,662.65,15.41
41,RCF,INE027A01015,132.73,15.95
42,SANDHAR,INE278H01035,727.2,18.43
43,NCC,INE868B01028,150.58,14.14
44,IREDA,INE202E01016,128.58,15.09
45,WALCHANNAG,INE711A01022,246.75,25.81
46,TITAN,INE280A01028,4481.1,9.74
47,BASF,INE373A01013,3637.4,13.63
48,NIFTYIETF,INF109K012R6,272.95,9
49,HDFCBANK,INE040A01034,795.9,9
50,HINDALCO,INE038A01020,949.2,12.06
51,TRANSRAILL,INE454P01035,522.55,16.3
52,LIQUIDBEES,INF732E01037,1000,5
53,POWERINDIA,INE07Y701011,33775,19.25
54,TATACONSUM,INE192A01025,1107.2,9.53
55,SENORES,INE0RB801010,1336.4,17.38
56,SGBMAR30X,IN0020210319,14471.76,10
57,YATRA,INE0JR601024,116.25,24.62
58,TANLA,INE483C01032,533.15,19.04
59,CASHIETF,INF109K1A021,1068.98,5
60,TORNTPHARM,INE685A01028,4661.4,9
61,INOXGREEN,INE510W01014,200.02,20.35
62,YESBANK,INE528G01035,24.25,12.93
63,COLPAL,INE259A01022,2061.5,9.76
64,IGIL,INE0Q9301021,361.35,15.27
65,SGBJUN30,IN0020220045,14449,10
66,SHAKTIPUMP,INE908D01010,574.45,20.13
67,VINCOFE,INE498Q01014,157.05,17.08
68,DMART,INE192R01011,4187,10.48
69,SANOFI,INE058A01010,3474.2,9
70,SULA,INE142Q01026,154.79,13.22
71,ABSLLIQUID,INF209KB18T9,1000,5
72,INDUSTOWER,INE121J01017,383.75,11.81
73,RICOAUTO,INE209B01025,138.15,23.52
74,UCOBANK,INE691A01018,27.15,13.93
75,DOMS,INE321T01012,2340.3,12.92
76,AADHARHFC,INE883F01010,535.7,11.75
77,JUNIORBEES,INF732E01045,782.42,9
78,KFINTECH,INE138Y01010,869.05,16.16
79,FORTIS,INE061F01013,974.95,11.14
80,BERGEPAINT,INE463A01038,520.75,11.47
81,OIL,INE274J01014,420.2,14.45
82,ITC,INE154A01025,289.9,9
83,LICNETFGSC,INF767K01MV5,29.45,10
84,EMAMILTD,INE548C01032,416.85,11.59
85,EBBETF0431,INF754K01LE1,1437.98,9
86,IMFA,INE919H01018,1358.3,20.33
87,DRREDDY,INE089A01031,1345.7,9.06
88,3MINDIA,INE470A01017,33960,11.44
89,THELEELA,INE0AQ201015,476.25,10.26
90,WHIRLPOOL,INE716A01013,811.2,15.05
91,IXIGO,INE0HV901016,217.07,21.83
92,CONSUMBEES,INF204KA1LD7,130.58,9
93,LTF,INE498L01015,315.25,14.07
94,VTL,INE825A01020,657.65,14.37
95,ICICIB22,INF109KB15Y7,118.95,9
96,JYOTHYLAB,INE668F01031,193.91,12.53
97,INDIANB,INE562A01011,815.1,13.25
98,MANKIND,INE634S01028,2486.9,11.15
99,SARDAEN,INE385C01021,500.45,16.19
100,GMDCLTD,INE131A01031,608.85,21.31
101,ASTRAL,INE006I01046,1363.2,12.43
102,MCX,INE745G01043,2923.2,16.4
103,SONACOMS,INE073K01018,662.3,13.39
104,HAVELLS,INE176B01034,1186.7,9.91
105,INTELLECT,INE306R01017,755.4,17.43
106,WAAREEENER,INE377N01017,2879.6,17.01
107,AGIIL,INE976R01033,357.55,21.64
108,PFIZER,INE182A01018,4439.4,9.99
109,ANGELONE,INE732I01021,346.15,18.76
110,PGIL,INE940H01022,2075.1,22.07
111,DREDGECORP,INE506A01018,1104.8,24.99
112,ARVIND,INE034A01011,568,16.85
113,NORTHARC,INE850M01015,310.2,15.93
114,DCBBANK,INE503A01015,193.49,14.92
115,RRKABEL,INE777K01022,2393.5,15.65
116,JSWINFRA,INE880J01026,327.5,13.68
117,BIOCON,INE376G01013,418.6,11.31
118,BIRLACORPN,INE340A01012,981.3,14.58
119,DCXINDIA,INE0KL801015,203.54,20.85
120,SIRCA,INE792Z01011,401.3,12.62
121,GRMOVER,INE192H01020,94.13,21.23
122,PIIND,INE603J01030,2608.5,11.33
123,TATSILV,INF277KA1984,21.98,23.04
124,INDUSINDBK,INE095A01012,943.5,14.01
125,TATAPOWER,INE245A01021,376.4,9.87
126,BRITANNIA,INE216A01030,5374,9
127,MSTCLTD,INE255X01014,695.15,20.49
128,INDRAMEDCO,INE681B01017,389.85,18.62
129,SILVERAXIS,INF846K011K1,224.91,22.23
130,REFEX,INE056I01025,364.45,22.42
131,SGBOCT27VI,IN0020190388,14264.9,10
132,KMEW,INE0CJD01029,2282.8,25.57
133,BPCL,INE029A01011,310.45,12.58
134,SGBDE30III,IN0020220110,14380.55,10
135,ABB,INE117A01022,6861,12.84
136,APTUS,INE852O01025,288.95,13.51
137,SBC,INE04AK01028,42.11,13.82
138,GOLDBEES,INF204KB17I5,117.69,11.57
139,AFCONS,INE101I01011,314.4,13.34
140,ELIQUID,INF754K01VW2,1037.49,5
141,CEATLTD,INE482A01020,3805.8,15.76
142,NSLNISP,INE0NNS01018,43.93,16.73
143,MRF,INE883A01011,132065,9.5
144,SGBJUN28,IN0020200104,14259.57,10
145,SYNGENE,INE398R01022,439.9,13.16
146,INOXINDIA,INE616N01034,1907,15.31
147,ACC,INE012A01025,1350.7,9.7
148,GRINDWELL,INE536A01023,2173.2,12.86
149,SHREECEM,INE070A01015,26220,9
150,ITIETF,INF109KC16I6,29.88,9.74
151,PHARMABEES,INF204KC1089,25.96,9
152,TATACAP,INE976I01016,356.3,9
153,NEOGEN,INE136S01016,1970.7,20.3
154,CLEAN,INE227W01023,777.3,13.59
155,GRSE,INE382Z01011,2771.3,22.29
156,CPPLUS,INE819V01029,3480.3,15.03
157,HCLTECH,INE860A01027,1078.1,11.27
158,JUBLPHARMA,INE700A01033,973.2,13.35
159,TIMKEN,INE325A01013,3494.1,12.61
160,SGBMAR28X,IN0020190552,14248,10
161,SGBSEP31II,IN0020230093,14570.39,10
162,IIFL,INE530B01024,518.7,18.06
163,SBFC,INE423Y01016,91.12,13.21
164,ARE&M,INE885A01032,862.75,13.49
165,ROLEXRINGS,INE645S01024,149.77,15.96
166,ADANIENSOL,INE931S01010,1556.9,18.35
167,KAYNES,INE918Z01012,3158.5,22.66
168,BHARATCOAL,INE05XR01022,40.03,13.24
169,STARCEMENT,INE460H01021,208.37,11.55
170,SPARC,INE232I01014,239.32,23.71
171,542012,INE911Z01025,7.28,100
172,TI,INE133E01013,454.4,17.53
173,EXIDEIND,INE302A01020,419.35,12.74
174,AONELIQUID,INF1J2R01056,1066.32,5
175,ABREL,INE055A01016,1424.1,17.24
176,THERMAX,INE152A01029,4917,15.3
