Date, Symbol, Underlying Close Price (A), Underlying Previous Day Close Price (B), Underlying Log Returns (C) = LN(A/B), Previous Day Underlying Volatility (D), Current Day Underlying Daily Volatility (E) = Sqrt (0.995*D*D + 0.005* C*C), Underlying Annualised Volatility (F) = E*sqrt(365), Futures Close Price (G), Futures Previous Day Close Price (H), Futures Log Returns (I) = LN(G/H), Previous Day Futures Volatility (J), Current Day Futures Daily Volatility (K) = Sqrt (0.995*J*J + 0.005* I*I), Futures Annualised Volatility (L) = K*sqrt(365), Applicable Daily Volatility (M) = Max (E or K), Applicable Annualised Volatility (N) = Max (F or L)
02-Jul-26,360ONE,1070.3,1065.9,  0.00411947,  0.02085251,  0.02080242,  0.39742969,1075,1076, -0.00092980,  0.02093459,  0.02088236,  0.39895696,  0.02088236,  0.39895696
02-Jul-26,ABB,6861,6937, -0.01101620,  0.02016771,  0.02013239,  0.38462875,6832.5,6908, -0.01098952,  0.02015889,  0.02012342,  0.38445736,  0.02013239,  0.38462875
02-Jul-26,ABCAPITAL,392.95,393.15, -0.00050884,  0.02145701,  0.02140325,  0.40890860,395.25,394.5,  0.00189934,  0.02161223,  0.02155859,  0.41187619,  0.02155859,  0.41187619
02-Jul-26,ADANIENSOL,1556.9,1521.4,  0.02306570,  0.02809584,  0.02807300,  0.53633388,1563.6,1531.6,  0.02067791,  0.02826317,  0.02823037,  0.53934048,  0.02823037,  0.53934048
02-Jul-26,ADANIENT,3177.5,3143.6,  0.01072608,  0.02485640,  0.02480577,  0.47391350,3185.9,3154.6,  0.00987312,  0.02531391,  0.02526012,  0.48259383,  0.02526012,  0.48259383
02-Jul-26,ADANIGREEN,1555.2,1535,  0.01307377,  0.02952774,  0.02946838,  0.56299253,1565.4,1545.1,  0.01305275,  0.02969130,  0.02963130,  0.56610522,  0.02963130,  0.56610522
02-Jul-26,ADANIPORTS,1883.1,1848.2,  0.01870716,  0.02001315,  0.02000693,  0.38223181,1889.2,1859.6,  0.01579205,  0.01995581,  0.01993705,  0.38089672,  0.02000693,  0.38223181
02-Jul-26,ADANIPOWER,224.55,226.86, -0.01023469,  0.02683369,  0.02677636,  0.51156165,225.83,228.35, -0.01109704,  0.02686336,  0.02680760,  0.51215852,  0.02680760,  0.51215852
02-Jul-26,ALKEM,5500.5,5567.5, -0.01210712,  0.01465374,  0.01464204,  0.27973573,5534,5589, -0.00988950,  0.01465532,  0.01463541,  0.27960904,  0.01464204,  0.27973573
02-Jul-26,AMBER,7404,7450.5, -0.00626075,  0.02915416,  0.02908447,  0.55565795,7428.5,7495, -0.00891218,  0.02958989,  0.02952252,  0.56402700,  0.02952252,  0.56402700
02-Jul-26,AMBUJACEM,428.95,418.85,  0.02382750,  0.01872815,  0.01875700,  0.35835198,431.55,421.55,  0.02344498,  0.01898872,  0.01901356,  0.36325357,  0.01901356,  0.36325357
02-Jul-26,ANGELONE,346.15,340.4,  0.01675081,  0.02869523,  0.02864796,  0.54731859,348.65,341.35,  0.02116021,  0.02878348,  0.02875041,  0.54927589,  0.02875041,  0.54927589
02-Jul-26,APLAPOLLO,1788.3,1785.1,  0.00179101,  0.01807563,  0.01803087,  0.34447935,1794.3,1794.8, -0.00027862,  0.01788198,  0.01783736,  0.34078235,  0.01803087,  0.34447935
02-Jul-26,APOLLOHOSP,8696,8618.5,  0.00895209,  0.01263836,  0.01262268,  0.24115596,8766,8672.5,  0.01072350,  0.01238443,  0.01237651,  0.23645298,  0.01262268,  0.24115596
02-Jul-26,ASHOKLEY,164.73,162.32,  0.01473807,  0.02322004,  0.02318534,  0.44295539,165.21,163.2,  0.01224095,  0.02279556,  0.02275502,  0.43473408,  0.02318534,  0.44295539
02-Jul-26,ASIANPAINT,2744.4,2716.3,  0.01029181,  0.01493881,  0.01491924,  0.28503170,2750.2,2725.4,  0.00905843,  0.01488952,  0.01486613,  0.28401699,  0.01491924,  0.28503170
02-Jul-26,ASTRAL,1363.2,1362.1,  0.00080725,  0.01958195,  0.01953295,  0.37317642,1349.9,1353.3, -0.00251554,  0.01936488,  0.01931726,  0.36905579,  0.01953295,  0.37317642
02-Jul-26,AUBANK,1057,1051.4,  0.00531210,  0.01948439,  0.01943921,  0.37138559,1062.5,1053.9,  0.00812705,  0.01886104,  0.01882263,  0.35960591,  0.01943921,  0.37138559
02-Jul-26,AUROPHARMA,1561,1552.6,  0.00539570,  0.01742443,  0.01738498,  0.33213957,1570.1,1560.8,  0.00594080,  0.01747882,  0.01744015,  0.33319364,  0.01744015,  0.33319364
02-Jul-26,AXISBANK,1362.9,1368.7, -0.00424660,  0.01519713,  0.01516197,  0.28966908,1364.8,1371.1, -0.00460544,  0.01491181,  0.01487798,  0.28424338,  0.01516197,  0.28966908
02-Jul-26,BAJAJ-AUTO,9857,9842,  0.00152292,  0.01533242,  0.01529432,  0.29219756,9828,9842, -0.00142349,  0.01523066,  0.01519277,  0.29025748,  0.01529432,  0.29219756
02-Jul-26,BAJAJFINSV,1855.8,1797.6,  0.03186343,  0.01527115,  0.01539871,  0.29419199,1861.5,1808.8,  0.02871897,  0.01560300,  0.01569575,  0.29986693,  0.01569575,  0.29986693
02-Jul-26,BAJAJHLDNG,10858,10719,  0.01288427,  0.01930085,  0.01927401,  0.36822942,10923,10775,  0.01364202,  0.01938779,  0.01936340,  0.36993715,  0.01936340,  0.36993715
02-Jul-26,BAJFINANCE,1018.5,1014.9,  0.00354087,  0.01842908,  0.01838463,  0.35123782,1024.9,1017.9,  0.00685337,  0.01827933,  0.01823991,  0.34847293,  0.01838463,  0.35123782
02-Jul-26,BANDHANBNK,205.1,205.02,  0.00039013,  0.02418605,  0.02412563,  0.46091947,205.7,206.02, -0.00155445,  0.02430988,  0.02424927,  0.46328171,  0.02424927,  0.46328171
02-Jul-26,BANKBARODA,260.25,271.65, -0.04287177,  0.01859785,  0.01879735,  0.35912296,261.8,272.5, -0.04005776,  0.01878376,  0.01894964,  0.36203242,  0.01894964,  0.36203242
02-Jul-26,BANKEX,65509.69,65461.77,  0.00073176,  0.01123972,  0.01121165,  0.21419821,65817,65781.4,  0.00054104,  0.01138727,  0.01135883,  0.21701022,  0.01135883,  0.21701022
02-Jul-26,BANKINDIA,144.96,141.66,  0.02302802,  0.02147194,  0.02147990,  0.41037298,145.87,142.07,  0.02639592,  0.02166062,  0.02168681,  0.41432597,  0.02168681,  0.41432597
02-Jul-26,BANKNIFTY,58031.65,58033.05, -0.00002412,  0.01104484,  0.01101726,  0.21048449,58350.6,58309.8,  0.00069947,  0.01092707,  0.01089979,  0.20824022,  0.01101726,  0.21048449
02-Jul-26,BDL,1384.9,1379,  0.00426934,  0.02653865,  0.02647394,  0.50578396,1383.4,1369.4,  0.01017155,  0.02782443,  0.02776412,  0.53043275,  0.02776412,  0.53043275
02-Jul-26,BEL,415.05,416.25, -0.00288705,  0.01829015,  0.01824552,  0.34858018,417.05,418.05, -0.00239492,  0.01828749,  0.01824244,  0.34852128,  0.01824552,  0.34858018
02-Jul-26,BHARATFORG,2148.9,2108.8,  0.01883702,  0.01988631,  0.01988132,  0.37983205,2151.5,2111.1,  0.01895613,  0.02016158,  0.02015575,  0.38507505,  0.02015575,  0.38507505
