Date,ISIN,Scrip Name,Symbol,Notional Open Interest,Portfolio-wise Futures Equivalent Open Interest
02-07-2026,INE721A01047,SHRIRAM FINANCE LIMITED,SHRIRAMFIN,48240225,36347312.57722425
02-07-2026,INE854D01024,UNITED SPIRITS LIMITED,UNITDSPR,12638400,8906114.41398000
02-07-2026,INE881D01027,ORACLE FIN SERV SOFT LTD.,OFSS,2316100,1435094.92881300
02-07-2026,INE361B01024,DIVI S LABORATORIES LTD,DIVISLAB,4588300,3409968.32731000
02-07-2026,INE003A01024,SIEMENS LTD,SIEMENS,4915575,3724489.53380300
02-07-2026,INE030A01027,HINDUSTAN UNILEVER LTD.,HINDUNILVR,27939000,20089763.07865200
02-07-2026,INE102D01028,GODREJ CONSUMER PRODUCTS,GODREJCP,14114000,11345359.72488000
02-07-2026,INE704P01025,COCHIN SHIPYARD LIMITED,COCHINSHIP,7357200,4610622.83940000
02-07-2026,INE114A01011,STEEL AUTHORITY OF INDIA,SAIL,220218500,192096592.56417000
02-07-2026,INE647A01010,SRF LTD,SRF,5904600,3680306.24560800
02-07-2026,INE138Y01010,KFIN TECHNOLOGIES LIMITED,KFINTECH,10338500,5543022.15419950
02-07-2026,INE974X01010,TUBE INVEST OF INDIA LTD,TIINDIA,2344000,1951392.80890200
02-07-2026,INE484J01027,GODREJ PROPERTIES LTD,GODREJPROP,12351300,8765877.25813400
02-07-2026,INE115A01026,LIC HOUSING FINANCE LTD,LICHSGFIN,32120000,25624555.63454000
02-07-2026,INE476A01022,CANARA BANK,CANBK,508855500,369672599.49975000
02-07-2026,INE531F01023,NUVAMA WEALTH MANAGE LTD,NUVAMA,3224500,2148995.29207000
02-07-2026,INE155A01022,TATA MOTORS PASS VEH LTD,TMPV,164521600,88237343.67977600
02-07-2026,INE245A01021,TATA POWER CO LTD,TATAPOWER,113095650,70981138.81268450
02-07-2026,INE414G01012,MUTHOOT FINANCE LIMITED,MUTHOOTFIN,9270525,6410158.87239950
02-07-2026,INE021A01026,ASIAN PAINTS LIMITED,ASIANPAINT,13167000,9095469.13938500
02-07-2026,INE585B01010,MARUTI SUZUKI INDIA LTD.,MARUTI,6492350,3297995.58171200
02-07-2026,INE528G01035,YES BANK LIMITED,YESBANK,2024143500,1381392721.95166900
02-07-2026,INE849A01020,TRENT LTD,TRENT,14404050,10238336.34531850
02-07-2026,INE154A01025,ITC LTD,ITC,265460250,170630378.72485525
02-07-2026,INE066F01020,HINDUSTAN AERONAUTICS LTD,HAL,9136950,5877745.82656400
02-07-2026,INE591G01025,COFORGE LIMITED,COFORGE,28765525,19759343.00285275
02-07-2026,INE303R01014,KALYAN JEWELLERS IND LTD,KALYANKJIL,58777650,44368438.31470200
02-07-2026,INE094A01015,HINDUSTAN PETROLEUM CORP,HINDPETRO,67780800,43980711.31481350
02-07-2026,INE406A01037,AUROBINDO PHARMA LTD,AUROPHARMA,16179350,12500294.18837500
02-07-2026,INE073K01018,SONA BLW PRECISION FRGS L,SONACOMS,25677225,16007138.50832575
02-07-2026,INE171Z01026,BHARAT DYNAMICS LIMITED,BDL,9868925,5504598.02061350
02-07-2026,INE018E01016,SBI CARDS & PAY SER LTD,SBICARD,48311200,26460183.08601600
02-07-2026,INE066A01021,EICHER MOTORS LTD,EICHERMOT,7286300,4225385.57103900
02-07-2026,INE196A01026,MARICO LIMITED,MARICO,25909200,17329787.54794400
02-07-2026,INE663F01032,INFO EDGE (I) LTD,NAUKRI,23122550,18039729.31418050
02-07-2026,INE211B01039,THE PHOENIX MILLS LTD,PHOENIXLTD,4904200,3999052.22828500
02-07-2026,INE669C01036,TECH MAHINDRA LIMITED,TECHM,30753600,22939492.66075600
02-07-2026,INE545U01014,BANDHAN BANK LIMITED,BANDHANBNK,150325200,108586693.98930800
02-07-2026,INE472A01039,BLUE STAR LIMITED,BLUESTARCO,4394325,3313349.02150225
02-07-2026,INE949L01017,AU SMALL FINANCE BANK LTD,AUBANK,31580000,25555227.16566000
02-07-2026,INE455K01017,POLYCAB INDIA LIMITED,POLYCAB,3564000,2157203.39632750
02-07-2026,INE062A01020,STATE BANK OF INDIA,SBIN,128467500,82496648.23472500
02-07-2026,INE451A01017,FORCE MOTORS LIMITED,FORCEMOT,372875,234593.67219450
02-07-2026,INE634S01028,MANKIND PHARMA LIMITED,MANKIND,3841500,2718233.03005000
02-07-2026,INE976G01028,RBL BANK LIMITED,RBLBANK,72602725,51711026.08837300
02-07-2026,INE326A01037,LUPIN LIMITED,LUPIN,8316825,5530022.40060100
02-07-2026,INE670A01012,TATA ELXSI LIMITED,TATAELXSI,5871000,2990194.81007625
02-07-2026,INE195A01028,SUPREME INDUSTRIES LTD,SUPREMEIND,3773350,2371969.98795500
02-07-2026,INE415G01027,RAIL VIKAS NIGAM LIMITED,RVNL,65230550,34733733.58808425
02-07-2026,INE095A01012,INDUSIND BANK LIMITED,INDUSINDBK,52900400,43078453.42196900
02-07-2026,INE239A01024,NESTLE INDIA LIMITED,NESTLEIND,16528000,11864349.80058500
02-07-2026,INE121A01024,CHOLAMANDALAM IN & FIN CO,CHOLAFIN,18462500,14768246.87033125
02-07-2026,INE139A01034,NATIONAL ALUMINIUM CO LTD,NATIONALUM,93615000,56733583.36258750
02-07-2026,INE466L01038,360 ONE WAM LIMITED,360ONE,8916500,7406363.63578000
02-07-2026,INE702C01027,APL APOLLO TUBES LTD,APLAPOLLO,7451150,5947191.29445650
02-07-2026,INE860A01027,HCL TECHNOLOGIES LTD,HCLTECH,60380000,42829431.64852000
02-07-2026,INE347G01014,PETRONET LNG LIMITED,PETRONET,44524600,35748796.01709400
02-07-2026,INE092T01019,IDFC FIRST BANK LIMITED,IDFCFIRSTB,511126700,396409951.45501225
02-07-2026,INE129A01019,GAIL (INDIA) LTD,GAIL,107834800,77330453.65591950
02-07-2026,INE00R701025,DALMIA BHARAT LIMITED,DALBHARAT,5934175,4829025.06994675
02-07-2026,INE249Z01020,MAZAGON DOCK SHIPBUIL LTD,MAZDOCK,6619725,4361116.68636150
02-07-2026,INE237A01036,KOTAK MAHINDRA BANK LTD,KOTAKBANK,242406000,196039659.97580000
02-07-2026,INE208A01029,ASHOK LEYLAND LTD,ASHOKLEY,293715000,174914557.49770000
02-07-2026,INE628A01036,UPL LIMITED,UPL,46094390,32158777.07581740
02-07-2026,INE670K01029,LODHA DEVELOPERS LIMITED,LODHA,16143125,11988957.71606875
02-07-2026,INE299U01018,CROMPT GREA CON ELEC LTD,CROMPTON,60789100,52612651.70454400
02-07-2026,INE067A01029,CG POWER AND IND SOL LTD,CGPOWER,27989650,20422697.38936700
02-07-2026,INE343H01029,SOLAR INDUSTRIES (I) LTD,SOLARINDS,1016250,724461.08347900
02-07-2026,INE405E01023,UNO MINDA LIMITED,UNOMINDA,6619250,5045529.77831150
02-07-2026,INE758T01015,ETERNAL LIMITED,ETERNAL,282488250,215396772.21084075
02-07-2026,INE931S01010,ADANI ENERGY SOLUTION LTD,ADANIENSOL,24035400,19805462.61849525
02-07-2026,INE918I01026,BAJAJ FINSERV LTD.,BAJAJFINSV,21649500,15489414.28586100
02-07-2026,INE848E01016,NHPC LTD,NHPC,220933550,118905963.45558450
02-07-2026,INE262H01021,PERSISTENT SYSTEMS LTD,PERSISTENT,9576000,5391574.92608125
