"Volume and Turnover data of top 10 Clearing Members (no. of contracts) in Equity Derivatives as on Jul 02, 2026 (Amounts in Rs. Crore)",,,,,,,,,,
Serial Number,Indx Futures Vol(Contracts),Index Futures Trnvr(Crores),Stock Futures Vol(Contracts),Stock Futures Trnvr(Crores),Index Options Vol(Contracts),Index Options Trnvr(Crores),Indx Opt Trnvr(prm)(Crores),Stock Options Vol(Contracts),Stock Options Trnvr(Crores),Stock Opt Trnvr(prm)(Crores)
1,2358,387.22,175982,12127.16,232325556,35974502.57,28642.51,1387903,96506.08,2254.68
2,2734,440.21,14919,977.62,88923083,13785703.26,14032.98,321511,21964.66,490.69
3,19935,3231.62,106409,6959.33,70672100,10965359.14,15504.71,677779,46251.85,1037.63
4,5582,908.42,38441,2547.33,54167438,8403146.30,10286.48,348347,24179.26,548.26
5,7576,1234.39,126251,8444.07,37844434,5863226.77,3813.10,542882,38124.76,896.39
6,8291,1344.90,55391,3882.20,34145712,5309180.91,3058.31,159851,10662.02,172.21
7,3,0.47,5,0.38,32252818,5007478.10,8982.27,902846,61367.00,1423.09
8,1895,310.31,5938,400.74,26875819,4166553.92,5232.00,81563,5575.73,132.33
9,285,48.45,3418,215.70,20990584,3238429.19,2109.31,3935,268.69,6.97
10,0,0.00,54,5.62,18741041,2909925.01,5309.96,1210671,83619.04,1762.46
TOTAL,48659,7905.98,526808,35560.15,616938585,95623505.18,96971.62,5637288,388519.08,8724.71
Note: Turnover = traded quantity * (strike price + premium),,,,,,,,,,
Turnover in terms of premium = traded quantity * premium,,,,,,,,,,
