Symbol,FPI Category I,FPI Category II,FPI Category II Others
360ONE,15325000,10216500,5108000
ABB,2383875,1589250,794625
ABCAPITAL,37113200,24741100,12369000
ADANIENSOL,14741325,9827325,4913325
ADANIENT,14735592,9823728,4911864
ADANIGREEN,27844800,18562800,9281400
ADANIPORTS,33154050,22102700,11051350
ADANIPOWER,217306150,144871950,72434200
ALKEM,2172875,1448500,724250
AMBER,979100,652700,326300
AMBUJACEM,36512400,24340800,12170400
ANGELONE,29185000,19455000,9727500
APLAPOLLO,8964900,5976600,2988300
APOLLOHOSP,4657375,3104875,1552375
ASHOKLEY,127130000,84755000,42375000
ASIANPAINT,13615750,9077000,4538500
ASTRAL,5533925,3689425,1844500
AUBANK,23437000,15624000,7812000
AUROPHARMA,12593350,8395200,4197600
AXISBANK,92043125,61361875,30680625
BAJAJ-AUTO,3873825,2582550,1291275
BAJAJFINSV,19765500,13176900,6588300
BAJAJHLDNG,1620525,1080375,540150
BAJFINANCE,110451000,73634250,36816750
BANDHANBNK,44229600,29487600,14742000
BANKBARODA,83842200,55893825,27945450
BANKINDIA,54527200,36353200,18174000
BDL,4135675,2756975,1378275
BEL,139768275,93177900,46588950
BHARATFORG,12032000,8021500,4010500
BHARTIARTL,126556625,84370925,42185225
BHEL,65546250,43698375,21847875
BIOCON,32407500,21605000,10802500
BLUESTARCO,5875350,3916900,1958450
BOSCHLTD,301750,201150,100575
BPCL,91805900,61203275,30600650
BRITANNIA,5360125,3573375,1786625
BSE,18354600,12236400,6118200
CAMS,11158950,7439025,3719100
CANBK,151294500,100858500,50429250
CDSL,7994250,5329500,2664750
CGPOWER,30556650,20371100,10185550
CHOLAFIN,19457500,12971875,6485625
CIPLA,21153100,14101925,7050750
COALINDIA,102239550,68158800,34079400
COCHINSHIP,3798400,2532000,1266000
COFORGE,15699225,10466150,5233075
COLPAL,4273500,2849000,1424500
CONCOR,15491250,10327500,5163750
CROMPTON,28975550,19315600,9657800
CUMMINSIND,6112200,4074800,2037400
DABUR,24802500,16535000,8267500
DALBHARAT,3727425,2484950,1242475
DELHIVERY,33685550,22457725,11227825
DIVISLAB,4080100,2720100,1360000
DIXON,1951300,1300850,650400
DLF,28875250,19249850,9624450
DMART,6817950,4545300,2272650
DRREDDY,26123750,17415625,8707500
EICHERMOT,5765800,3843800,1921900
ETERNAL,413724400,275814650,137907325
EXIDEIND,20656800,13770000,6885000
FEDERALBNK,109765000,73177500,36587500
FORCEMOT,221050,147375,73675
FORTIS,15589125,10392750,5196375
GAIL,134545000,89697850,44847150
GLENMARK,6774375,4516125,2257875
GMRAIRPORT,159999525,106661700,53330850
GODFRYPHLP,1904375,1269400,634700
GODREJCP,21616500,14411000,7205500
GODREJPROP,6551675,4367675,2183675
GRASIM,11417250,7611500,3805750
GVT&D,5645750,3763875,1881875
HAL,8535150,5690100,2845050
HAVELLS,11449000,7632500,3816000
HCLTECH,47445600,31630400,15815200
HDFCAMC,9181800,6121200,3060600
