UNDERLYING_NAME,MWPL (July 2026)
360ONE,51083894
ABB,7946564
ABCAPITAL,123720921
ADANIENSOL,49139888
ADANIENT,49118842
ADANIGREEN,92816927
ADANIPORTS,110514429
ADANIPOWER,724360180
ALKEM,7243069
AMBER,3263764
AMBUJACEM,121709478
ANGELONE,97286577
APLAPOLLO,29883578
APOLLOHOSP,15524629
ASHOKLEY,423779104
ASIANPAINT,45385909
ASTRAL,18447449
AUBANK,78124588
AUROPHARMA,41977935
AXISBANK,306812193
BAJAJ-AUTO,12912877
BAJAJFINSV,65885861
BAJAJHLDNG,5401993
BAJFINANCE,368171395
BANDHANBNK,147442270
BANKBARODA,279476623
BANKINDIA,181770921
BDL,13786716
BEL,465894408
BHARATFORG,40107751
BHARTIARTL,421856445
BHEL,218493415
BIOCON,108030546
BLUESTARCO,19585168
BOSCHLTD,1005850
BPCL,306020745
BRITANNIA,17867310
BSE,61182611
CAMS,37197674
CANBK,504315430
CDSL,26647500
CGPOWER,101855520
CHOLAFIN,64859568
CIPLA,70510364
COALINDIA,340798858
COCHINSHIP,12661431
COFORGE,52331255
COLPAL,14245222
CONCOR,51639257
CROMPTON,96587231
CUMMINSIND,20374200
DABUR,82677434
DALBHARAT,12425160
DELHIVERY,112291216
DIVISLAB,13600537
DIXON,6504348
DLF,96251298
DMART,22726551
DRREDDY,87080351
EICHERMOT,19219348
ETERNAL,1379083826
EXIDEIND,68856800
FEDERALBNK,365889239
FORCEMOT,736885
FORTIS,51966225
GAIL,448489660
GLENMARK,22582219
GMRAIRPORT,533339406
GODFRYPHLP,6348046
GODREJCP,72056552
GODREJPROP,21839065
GRASIM,38058064
GVT&D,18819420
HAL,28450886
HAVELLS,38163575
HCLTECH,158152529
HDFCAMC,30606078
HDFCBANK,1783013543
HDFCLIFE,161090614
HEROMOTOCO,19590239
HINDALCO,218653306
HINDPETRO,143933168
HINDUNILVR,97201599
HINDZINC,178972892
HYUNDAI,21329205
ICICIBANK,730556428
ICICIGI,32326998
ICICIPRULI,59123321
IDEA,9911451222
IDFCFIRSTB,774014712
IEX,133395043
INDHOTEL,89743930
INDIANB,52862157
INDIGO,33882112
INDUSINDBK,93362279
INDUSTOWER,192747135
INFY,480358910
INOXWIND,144708707
IOC,684903861
IREDA,119011160
IRFC,290313356
ITC,1252636416
JINDALSTEL,47028554
JIOFIN,503888084
JSWENERGY,91884320
JSWSTEEL,133262322
JUBLFOOD,58777042
KALYANKJIL,57524664
KAYNES,4679418
KEI,9320940
KFINTECH,19963417
KOTAKBANK,835719519
KPITTECH,24623843
LAURUSLABS,58713729
LICHSGFIN,45183075
LICI,66412476
LODHA,41547991
LT,136114291
LTF,127778383
LTM,13993790
LUPIN,36444964
M&M,123370506
MANAPPURAM,82205057
MANKIND,16930157
MARICO,79605726
MARUTI,18059533
MAXHEALTH,111353601
MAZDOCK,11364224
MCX,38177113
MFSL,34079851
MOTHERSON,693577843
MOTILALOFS,28863316
MPHASIS,17425625
MUTHOOTFIN,16050690
NAM-INDIA,26863185
NATIONALUM,134225816
NAUKRI,60691614
NBCC,154894704
NESTLEIND,84572244
NHPC,491233252
NMDC,517037525
NTPC,622821796
NUVAMA,12525718
NYKAA,192002004
OBEROIRLTY,17614093
OFSS,3597590
OIL,105756420
ONGC,775711816
PAGEIND,840421
PATANJALI,51827925
PAYTM,69242766
PERSISTENT,16266167
PETRONET,112500013
PFC,217835555
PGEL,24218545
PHOENIXLTD,19281416
PIDILITIND,37147455
PIIND,12267413
PNB,515822637
PNBHOUSING,28124755
POLICYBZR,69306030
POLYCAB,8695149
POWERGRID,617741894
POWERINDIA,1917916
PREMIERENE,24250573
PRESTIGE,25234534
RADICO,12010217
RBLBANK,92716710
RECLTD,187084550
RELIANCE,743077743
RVNL,84941460
SAIL,216861410
SBICARD,44357301
SBILIFE,65556334
SBIN,610396121
SHREECEM,1351155
SHRIRAMFIN,210590173
SIEMENS,13098712
SOLARINDS,3644817
SONACOMS,67126548
SRF,22113528
SUNPHARMA,163832315
SUPREMEIND,8921715
SUZLON,1815899573
SWIGGY,385925061
TATACONSUM,89363174
TATAELXSI,5242164
TATAPOWER,254712297
TATASTEEL,1069701787
TCS,153229333
TECHM,88069487
TIINDIA,12628330
TITAN,44469515
TMPV,313941896
TORNTPHARM,15384925
TRENT,39565447
TVSMOTOR,35422095
ULTRACEMCO,15773231
UNIONBANK,289041713
UNITDSPR,47269416
UNOMINDA,27399147
UPL,84189026
VBL,205781499
VEDL,254990097
VMM,419720977
VOLTAS,34594689
WAAREEENER,15451398
WIPRO,428949912
YESBANK,2995538014
ZYDUSLIFE,36152910
