Confirmed list of securities to be auctioned in A 2026122 to be held on Jul 03 2026.

Sr No,Symbol,Series,Total Qty
1,AADHARHFC,EQ,50
2,ABFRL,EQ,100
3,ACMESOLAR,EQ,21
4,ALKEM,EQ,5
5,ALOKINDS,EQ,86
6,ALPA,EQ,87
7,AMBUJACEM,EQ,100
8,AONESILVER,EQ,1035
9,APOLLO,EQ,400
10,ASHOKLEY,EQ,40
11,ATLANTAA,EQ,190
12,AWFIS,EQ,1
13,AWHCL,EQ,17
14,BAGFILMS,EQ,17
15,BAJAJ-AUTO,EQ,2
16,BAJAJHIND,EQ,3
17,BAJAJHLDNG,EQ,20
18,BAJFINANCE,EQ,2
19,BALKRISIND,EQ,1
20,BANKBARODA,EQ,120
21,BBOX,EQ,4
22,BCONCEPTS,EQ,2
23,BERGEPAINT,EQ,1
24,BIL,EQ,9
25,BLUSPRING,EQ,30556
26,BOSCH-HCIL,EQ,400
27,CANTABIL,EQ,1
28,CAPLIPOINT,EQ,5
29,CDSL,EQ,3
30,CEMPRO,EQ,5534
31,COALINDIA,EQ,400
32,CONCORDBIO,EQ,65
33,CONFIPET,EQ,5000
34,CONTROLPR,EQ,1
35,CORDELIA,EQ,87546
36,CORONA,EQ,10
37,CROMPTON,EQ,25
38,DEEPAKFERT,EQ,561
39,DELHIVERY,EQ,1
40,DENTA,EQ,1
41,DIVISLAB,EQ,2
42,DIXON,EQ,18
43,DSSL,EQ,1
44,DWARKESH,EQ,2
45,E2E,EQ,1
46,EBGNG,EQ,47
47,EICHERMOT,EQ,10
48,ELECON,EQ,2
49,ELM250,EQ,1511
50,EMIL,EQ,2
51,EMMVEE,EQ,500
52,ETERNAL,EQ,23
53,FCL,EQ,1
54,FEDFINA,EQ,333
55,FORCEMOT,EQ,3
56,FRACTAL,EQ,1
57,GAEL,EQ,300
58,GINNIFILA,EQ,654
59,GOCOLORS,EQ,70
60,GODREJIND,EQ,500
61,GODREJPROP,EQ,1
62,GPIL,EQ,11
63,GRAPHITE,EQ,1
64,GREAVESCOT,EQ,1
65,GREENPOWER,EQ,2
66,GTLINFRA,EQ,1
67,GVPIL,EQ,309
68,GVT&D,EQ,71
69,HAL,EQ,5
70,HCLTECH,EQ,50
71,HDFCBANK,EQ,2
72,HECPROJECT,EQ,1
73,HEXAGON,EQ,205735
74,HFCL,EQ,1001
75,HIKAL,EQ,106
76,HINDUNILVR,EQ,5
77,HUDCO,EQ,1
78,ICICIBANK,EQ,1
79,IDEA,EQ,1
80,IFGLEXPOR,EQ,45409
81,IIFL,EQ,100
82,IKIO,EQ,3
83,INDOCO,EQ,40
84,INFY,EQ,525
85,INOXGREEN,EQ,1
86,IOC,EQ,317
87,IONEXCHANG,EQ,1
88,IRBINVIT,IV,12715
89,IRFC,EQ,750
90,ITC,EQ,20
91,IVALUE,EQ,2
92,JAINREC,EQ,1
93,JINDALSTEL,EQ,1
94,JISLDVREQS,EQ,5403
95,JKIL,EQ,200
96,JKTYRE,EQ,1
97,KIRLOSENG,EQ,20
98,KISSHT,EQ,210
99,LATENTVIEW,EQ,2
100,LENSKART,EQ,30
101,LIQUIDBEES,EQ,2
102,MACPOWER,EQ,1
103,MAFANG,EQ,13
104,MAHKTECH,EQ,1
105,MANBA,EQ,2
106,MCX,EQ,10
107,MHLXMIRU,EQ,1
108,MMTC,EQ,250
109,MONARCH,EQ,1
110,MONEYBOXX,EQ,127
111,MONQ50,EQ,21
112,MOVALUE,EQ,38
113,MRF,EQ,1
114,MUNJALAU,EQ,3
115,NARMADA,EQ,5671
116,NAUKRI,EQ,5
117,NESTLEIND,EQ,14
118,NEWGEN,EQ,1
119,NHPC,EQ,120
120,NMDC,EQ,50
121,NYKAA,EQ,9
122,OBEROIRLTY,EQ,150
123,OLAELEC,EQ,221
124,OLECTRA,EQ,5
125,OMFREIGHT,EQ,4
126,ONESOURCE,EQ,2
127,ONGC,EQ,100
128,ONMOBILE,EQ,272544
129,OPTIEMUS,EQ,1
130,PACEDIGITK,EQ,352
131,PAGEIND,EQ,2
132,PARAGMILK,EQ,2
133,PCJEWELLER,EQ,159
134,PERSISTENT,EQ,16
135,POLYMED,EQ,164
136,PRECAM,EQ,1
137,QMSMEDI,EQ,73
138,QUESS,EQ,1
139,RAINBOW,EQ,1
140,RAJRATAN,EQ,1
141,RBZJEWEL,EQ,10
142,RELIANCE,EQ,1
143,RGL,EQ,1
144,RHIM,EQ,4
145,RICOAUTO,EQ,300
146,RISHABH,EQ,7
147,RITES,EQ,4
148,SAATVIKGL,EQ,1
149,SAMBHV,EQ,100
150,SETL,EQ,4575
151,SHREYANIND,EQ,13
152,SILVERTUC,EQ,1000
153,SONACOMS,EQ,250
154,SONATSOFTW,EQ,40
155,SPARC,EQ,5
156,SUMICHEM,EQ,65
157,SUVEN,EQ,1008
158,SUZLON,EQ,400
159,SWIGGY,EQ,1
160,SWSOLAR,EQ,100
161,SYLVANPLY,SM,2000
162,SYNCOMF,EQ,44
163,TATASTEEL,EQ,100
164,TCS,EQ,17
165,TIPSMUSIC,EQ,10
166,TRENT,EQ,17
167,TVSMOTOR,EQ,11
168,UFBL,EQ,6014
169,UPL,EQ,20
170,URJA,EQ,46
171,V2RETAIL,EQ,2
172,VAML,EQ,19
173,VEDPOWER,EQ,7830
174,VELJAN,EQ,24
175,VIKRAMSOLR,EQ,250
176,VISL,EQ,419742
177,VOGL,EQ,7283
178,VOLTAS,EQ,43
179,WEBELSOLAR,EQ,4793
180,WIPRO,EQ,223250
181,XPROINDIA,EQ,68
182,YESBANK,EQ,6500
183,ZYDUSWELL,EQ,47
