Trade Date,ISIN,Last Trade Price (in Rs.),Last Trade Value (Rs. in lacs),Total Trade Value (Rs. in lacs),Last Trade Yield (YTM) (Annualized) (%),Weighted Average Price  (Rs.),Weighted Average Yield (YTM) (%)
02-Jul-2026,INE020B08FJ3 ,58.4334,3500.00,26100.00,6.6500,57.8692,6.7731
02-Jul-2026,INE020B08EK4 ,100.6300,5000.00,47500.00,7.0988,100.6289,7.0995
02-Jul-2026,INE261F08EP4 ,98.9394,500.00,500.00,7.1500,98.9394,7.1500
02-Jul-2026,INE0NES07329 ,98.7651,0.10,689.60,14.0000,98.9496,13.8047
02-Jul-2026,INE039A09PP9 ,103.8097,90.00,90.00,9.3200,103.8097,9.3200
02-Jul-2026,INE1VXE07023 ,98.4342,1.00,125.00,11.7500,98.3362,11.9980
02-Jul-2026,INE916Y07057 ,100.0518,0.30,5.50,12.6500,100.0518,12.6500
02-Jul-2026,INE752E08775 ,99.4751,2498.00,5000.00,7.1900,99.4751,7.1900
02-Jul-2026,INE884Q07855 ,98.3637,2.00,425.00,12.2500,97.6872,12.6899
02-Jul-2026,INE121A07SH0 ,100.6826,3500.00,14000.00,7.7411,100.6726,7.7500
02-Jul-2026,INE756I07FB6 ,100.4245,1000.00,3500.00,7.6000,100.4245,7.6000
02-Jul-2026,INE413U07210 ,99.9600,19.00,66.00,10.0000,99.9600,10.0014
02-Jul-2026,INE498L07210 ,101.1318,1000.00,1000.00,7.6800,101.1318,7.6800
02-Jul-2026,INE926R07035 ,98.9678,0.10,283.60,14.5000,96.0674,16.3854
02-Jul-2026,INE090W07709 ,51.0487,1.68,31.25,8.2500,51.0487,8.2500
02-Jul-2026,INE08XP07498 ,98.8137,1.00,690.70,13.7500,97.2331,15.2219
02-Jul-2026,INE556F08LF3 ,100.9452,2500.00,100000.00,7.1600,100.9687,7.1541
02-Jul-2026,INE04VS07438 ,99.5725,6.00,85.00,10.0411,99.6548,9.9511
02-Jul-2026,INE501X07588 ,100.0222,9.00,18.00,10.9608,99.9972,11.0304
02-Jul-2026,INE125T07337 ,99.7893,7.50,15.00,12.1714,99.7643,12.2107
02-Jul-2026,INE916DA7TK3 ,101.0508,500.00,500.00,7.7200,101.0508,7.7200
02-Jul-2026,INE312X08034 ,100.1000,500.00,500.00,9.6069,100.1000,9.6069
02-Jul-2026,INE583D07661 ,99.0508,0.10,186.50,11.0000,99.0556,11.0276
02-Jul-2026,INE0KUG08142 ,100.3481,20000.00,45000.00,7.2350,100.3012,7.2527
02-Jul-2026,INE08E807142 ,99.0587,1.00,1.00,11.7500,99.0587,11.7500
02-Jul-2026,INE752E08767 ,99.2457,2500.00,7500.00,7.1900,99.2457,7.1900
02-Jul-2026,INE511C07953 ,98.6789,2500.00,2502.00,8.2500,98.6803,8.2496
02-Jul-2026,INE377Y07508 ,101.4378,5000.00,5000.00,7.6400,101.4378,7.6400
02-Jul-2026,INE03K307124 ,99.3716,0.10,100.50,11.7500,98.9565,11.9822
02-Jul-2026,INE0JYY07026 ,98.5875,2.00,50.00,11.0000,99.1398,11.0700
02-Jul-2026,INE545L07044 ,98.5326,2.00,10.00,13.2500,98.3193,13.3750
02-Jul-2026,INE2T2Q07188 ,100.4731,25.00,279.00,8.6000,101.2452,8.3376
