DATE,INSTRUMENT,UNDERLYING,EXPIRY DATE,MTM SETTLEMENT PRICE
02-JUL-2026,FUTCUR,EURINR,03-JUL-2026,108.3175000
02-JUL-2026,FUTCUR,EURINR,10-JUL-2026,108.4375000
02-JUL-2026,FUTCUR,EURINR,17-JUL-2026,108.5575000
02-JUL-2026,FUTCUR,EURINR,24-JUL-2026,108.6775000
02-JUL-2026,FUTCUR,EURINR,29-JUL-2026,109.2225000
02-JUL-2026,FUTCUR,EURINR,31-JUL-2026,108.8000000
02-JUL-2026,FUTCUR,EURINR,07-AUG-2026,108.7950000
02-JUL-2026,FUTCUR,EURINR,14-AUG-2026,108.8925000
02-JUL-2026,FUTCUR,EURINR,21-AUG-2026,108.9900000
02-JUL-2026,FUTCUR,EURINR,27-AUG-2026,109.0725000
02-JUL-2026,FUTCUR,EURINR,28-AUG-2026,109.0875000
02-JUL-2026,FUTCUR,EURINR,04-SEP-2026,109.1850000
02-JUL-2026,FUTCUR,EURINR,11-SEP-2026,109.2800000
02-JUL-2026,FUTCUR,EURINR,28-SEP-2026,109.5175000
02-JUL-2026,FUTCUR,EURINR,28-OCT-2026,109.9350000
02-JUL-2026,FUTCUR,EURINR,26-NOV-2026,110.0225000
02-JUL-2026,FUTCUR,EURINR,29-DEC-2026,110.4125000
02-JUL-2026,FUTCUR,EURINR,27-JAN-2027,110.7575000
02-JUL-2026,FUTCUR,EURINR,24-FEB-2027,111.0900000
02-JUL-2026,FUTCUR,EURINR,29-MAR-2027,111.4850000
02-JUL-2026,FUTCUR,EURINR,28-APR-2027,111.8450000
02-JUL-2026,FUTCUR,EURINR,27-MAY-2027,112.1950000
02-JUL-2026,FUTCUR,EURINR,28-JUN-2027,112.5800000
02-JUL-2026,FUTCUR,EURUSD,03-JUL-2026,1.1349000
02-JUL-2026,FUTCUR,EURUSD,10-JUL-2026,1.1353000
02-JUL-2026,FUTCUR,EURUSD,17-JUL-2026,1.1356000
02-JUL-2026,FUTCUR,EURUSD,24-JUL-2026,1.1359000
02-JUL-2026,FUTCUR,EURUSD,29-JUL-2026,1.1362000
02-JUL-2026,FUTCUR,EURUSD,31-JUL-2026,1.1363000
02-JUL-2026,FUTCUR,EURUSD,07-AUG-2026,1.1366000
02-JUL-2026,FUTCUR,EURUSD,14-AUG-2026,1.1369000
02-JUL-2026,FUTCUR,EURUSD,21-AUG-2026,1.1372000
02-JUL-2026,FUTCUR,EURUSD,27-AUG-2026,1.1375000
02-JUL-2026,FUTCUR,EURUSD,28-AUG-2026,1.1376000
02-JUL-2026,FUTCUR,EURUSD,04-SEP-2026,1.1379000
02-JUL-2026,FUTCUR,EURUSD,11-SEP-2026,1.1382000
02-JUL-2026,FUTCUR,EURUSD,28-SEP-2026,1.1390000
02-JUL-2026,FUTCUR,EURUSD,28-OCT-2026,1.1404000
02-JUL-2026,FUTCUR,EURUSD,26-NOV-2026,1.1418000
02-JUL-2026,FUTCUR,EURUSD,29-DEC-2026,1.1433000
02-JUL-2026,FUTCUR,EURUSD,27-JAN-2027,1.1447000
02-JUL-2026,FUTCUR,EURUSD,24-FEB-2027,1.1460000
02-JUL-2026,FUTCUR,EURUSD,29-MAR-2027,1.1476000
02-JUL-2026,FUTCUR,EURUSD,28-APR-2027,1.1490000
02-JUL-2026,FUTCUR,EURUSD,27-MAY-2027,1.1503000
02-JUL-2026,FUTCUR,EURUSD,28-JUN-2027,1.1519000
02-JUL-2026,FUTCUR,GBPINR,03-JUL-2026,126.4975000
02-JUL-2026,FUTCUR,GBPINR,10-JUL-2026,126.6025000
02-JUL-2026,FUTCUR,GBPINR,17-JUL-2026,126.7050000
02-JUL-2026,FUTCUR,GBPINR,24-JUL-2026,126.8075000
02-JUL-2026,FUTCUR,GBPINR,29-JUL-2026,127.5800000
02-JUL-2026,FUTCUR,GBPINR,31-JUL-2026,126.9125000
02-JUL-2026,FUTCUR,GBPINR,07-AUG-2026,126.8700000
02-JUL-2026,FUTCUR,GBPINR,14-AUG-2026,126.9450000
02-JUL-2026,FUTCUR,GBPINR,21-AUG-2026,127.0200000
02-JUL-2026,FUTCUR,GBPINR,27-AUG-2026,127.0850000
02-JUL-2026,FUTCUR,GBPINR,28-AUG-2026,127.0950000
02-JUL-2026,FUTCUR,GBPINR,04-SEP-2026,127.1700000
02-JUL-2026,FUTCUR,GBPINR,11-SEP-2026,127.2475000
