DATE,INSTRUMENT,UNDERLYING,EXPIRY DATE,MTM SETTLEMENT PRICE
02-JUL-2026,FUTIDX,BANKEX,30-JUL-2026,65817.00
02-JUL-2026,FUTIDX,BANKEX,27-AUG-2026,66168.30
02-JUL-2026,FUTIDX,BANKEX,24-SEP-2026,66500.10
02-JUL-2026,FUTIDX,BANKNIFTY,28-JUL-2026,58350.60
02-JUL-2026,FUTIDX,BANKNIFTY,25-AUG-2026,58649.60
02-JUL-2026,FUTIDX,BANKNIFTY,29-SEP-2026,59041.60
02-JUL-2026,FUTIDX,FINNIFTY,28-JUL-2026,27013.60
02-JUL-2026,FUTIDX,FINNIFTY,25-AUG-2026,27122.80
02-JUL-2026,FUTIDX,FINNIFTY,29-SEP-2026,27292.90
02-JUL-2026,FUTIDX,FOCIT,30-JUL-2026,33102.00
02-JUL-2026,FUTIDX,FOCIT,27-AUG-2026,33037.00
02-JUL-2026,FUTIDX,FOCIT,24-SEP-2026,33202.00
02-JUL-2026,FUTIDX,MIDCPNIFTY,28-JUL-2026,14651.00
02-JUL-2026,FUTIDX,MIDCPNIFTY,25-AUG-2026,14689.90
02-JUL-2026,FUTIDX,MIDCPNIFTY,29-SEP-2026,14734.75
02-JUL-2026,FUTIDX,NIFTY,28-JUL-2026,24265.00
02-JUL-2026,FUTIDX,NIFTY,25-AUG-2026,24354.00
02-JUL-2026,FUTIDX,NIFTY,29-SEP-2026,24514.20
02-JUL-2026,FUTIDX,NIFTYNXT50,28-JUL-2026,72614.80
02-JUL-2026,FUTIDX,NIFTYNXT50,25-AUG-2026,72824.60
02-JUL-2026,FUTIDX,NIFTYNXT50,29-SEP-2026,73579.20
02-JUL-2026,FUTIDX,SENSEX,30-JUL-2026,77906.20
02-JUL-2026,FUTIDX,SENSEX,27-AUG-2026,78359.50
02-JUL-2026,FUTIDX,SENSEX,24-SEP-2026,78906.15
02-JUL-2026,FUTIDX,SENSEX50,30-JUL-2026,25432.75
02-JUL-2026,FUTIDX,SENSEX50,27-AUG-2026,25568.50
02-JUL-2026,FUTIDX,SENSEX50,24-SEP-2026,25696.70
02-JUL-2026,FUTIDX,SX40,28-JUL-2026,45351.00
02-JUL-2026,FUTIDX,SX40,25-AUG-2026,45592.00
02-JUL-2026,FUTIDX,SX40,29-SEP-2026,45877.95
02-JUL-2026,FUTIDX,SX40,29-DEC-2026,46629.80
02-JUL-2026,FUTIDX,SX40,30-MAR-2027,47394.00
02-JUL-2026,FUTSTK,011NSETEST,27-NOV-2036,377.50
02-JUL-2026,FUTSTK,021NSETEST,27-NOV-2036,377.50
02-JUL-2026,FUTSTK,031NSETEST,27-NOV-2036,377.50
02-JUL-2026,FUTSTK,041NSETEST,27-NOV-2036,377.50
02-JUL-2026,FUTSTK,051NSETEST,27-NOV-2036,377.50
02-JUL-2026,FUTSTK,061NSETEST,27-NOV-2036,377.50
02-JUL-2026,FUTSTK,071NSETEST,27-NOV-2036,377.50
02-JUL-2026,FUTSTK,081NSETEST,27-NOV-2036,377.50
02-JUL-2026,FUTSTK,091NSETEST,27-NOV-2036,377.50
02-JUL-2026,FUTSTK,101NSETEST,27-NOV-2036,377.50
02-JUL-2026,FUTSTK,111NSETEST,27-NOV-2036,377.50
02-JUL-2026,FUTSTK,121NSETEST,27-NOV-2036,377.50
02-JUL-2026,FUTSTK,131NSETEST,27-NOV-2036,377.50
02-JUL-2026,FUTSTK,141NSETEST,27-NOV-2036,377.50
02-JUL-2026,FUTSTK,151NSETEST,27-NOV-2036,377.50
02-JUL-2026,FUTSTK,161NSETEST,27-NOV-2036,377.50
02-JUL-2026,FUTSTK,171NSETEST,27-NOV-2036,377.50
02-JUL-2026,FUTSTK,181NSETEST,27-NOV-2036,377.50
02-JUL-2026,FUTSTK,360ONE,28-JUL-2026,1075.00
02-JUL-2026,FUTSTK,360ONE,30-JUL-2026,1075.30
02-JUL-2026,FUTSTK,360ONE,25-AUG-2026,1079.90
02-JUL-2026,FUTSTK,360ONE,27-AUG-2026,1081.10
02-JUL-2026,FUTSTK,360ONE,24-SEP-2026,1086.50
02-JUL-2026,FUTSTK,360ONE,29-SEP-2026,1087.50
02-JUL-2026,FUTSTK,ABB,28-JUL-2026,6832.50
02-JUL-2026,FUTSTK,ABB,30-JUL-2026,6893.50
02-JUL-2026,FUTSTK,ABB,25-AUG-2026,6801.00
02-JUL-2026,FUTSTK,ABB,27-AUG-2026,6930.00
02-JUL-2026,FUTSTK,ABB,24-SEP-2026,6965.00
02-JUL-2026,FUTSTK,ABB,29-SEP-2026,6971.00
02-JUL-2026,FUTSTK,ABCAPITAL,28-JUL-2026,395.25
02-JUL-2026,FUTSTK,ABCAPITAL,30-JUL-2026,394.80
02-JUL-2026,FUTSTK,ABCAPITAL,25-AUG-2026,397.40
02-JUL-2026,FUTSTK,ABCAPITAL,27-AUG-2026,396.90
02-JUL-2026,FUTSTK,ABCAPITAL,24-SEP-2026,398.90
02-JUL-2026,FUTSTK,ABCAPITAL,29-SEP-2026,399.25
02-JUL-2026,FUTSTK,ADANIENSOL,28-JUL-2026,1563.60
02-JUL-2026,FUTSTK,ADANIENSOL,30-JUL-2026,1564.20
02-JUL-2026,FUTSTK,ADANIENSOL,25-AUG-2026,1570.30
02-JUL-2026,FUTSTK,ADANIENSOL,27-AUG-2026,1572.60
02-JUL-2026,FUTSTK,ADANIENSOL,24-SEP-2026,1580.40
02-JUL-2026,FUTSTK,ADANIENSOL,29-SEP-2026,1581.90
02-JUL-2026,FUTSTK,ADANIENT,28-JUL-2026,3185.90
02-JUL-2026,FUTSTK,ADANIENT,30-JUL-2026,3192.40
02-JUL-2026,FUTSTK,ADANIENT,25-AUG-2026,3204.20
02-JUL-2026,FUTSTK,ADANIENT,27-AUG-2026,3209.40
02-JUL-2026,FUTSTK,ADANIENT,24-SEP-2026,3225.50
02-JUL-2026,FUTSTK,ADANIENT,29-SEP-2026,3226.30
02-JUL-2026,FUTSTK,ADANIGREEN,28-JUL-2026,1565.40
02-JUL-2026,FUTSTK,ADANIGREEN,30-JUL-2026,1562.50
02-JUL-2026,FUTSTK,ADANIGREEN,25-AUG-2026,1571.80
02-JUL-2026,FUTSTK,ADANIGREEN,27-AUG-2026,1570.80
02-JUL-2026,FUTSTK,ADANIGREEN,24-SEP-2026,1578.70
02-JUL-2026,FUTSTK,ADANIGREEN,29-SEP-2026,1585.40
02-JUL-2026,FUTSTK,ADANIPORTS,28-JUL-2026,1889.20
02-JUL-2026,FUTSTK,ADANIPORTS,30-JUL-2026,1891.90
02-JUL-2026,FUTSTK,ADANIPORTS,25-AUG-2026,1898.60
02-JUL-2026,FUTSTK,ADANIPORTS,27-AUG-2026,1902.00
02-JUL-2026,FUTSTK,ADANIPORTS,24-SEP-2026,1911.60
02-JUL-2026,FUTSTK,ADANIPORTS,29-SEP-2026,1911.30
02-JUL-2026,FUTSTK,ADANIPOWER,28-JUL-2026,225.83
02-JUL-2026,FUTSTK,ADANIPOWER,30-JUL-2026,225.60
02-JUL-2026,FUTSTK,ADANIPOWER,25-AUG-2026,227.02
02-JUL-2026,FUTSTK,ADANIPOWER,27-AUG-2026,226.81
02-JUL-2026,FUTSTK,ADANIPOWER,24-SEP-2026,227.94
02-JUL-2026,FUTSTK,ADANIPOWER,29-SEP-2026,228.45
02-JUL-2026,FUTSTK,ALKEM,28-JUL-2026,5534.00
02-JUL-2026,FUTSTK,ALKEM,30-JUL-2026,5526.50
02-JUL-2026,FUTSTK,ALKEM,25-AUG-2026,5550.50
02-JUL-2026,FUTSTK,ALKEM,27-AUG-2026,5556.00
02-JUL-2026,FUTSTK,ALKEM,24-SEP-2026,5584.00
02-JUL-2026,FUTSTK,ALKEM,29-SEP-2026,5589.00
02-JUL-2026,FUTSTK,AMBER,28-JUL-2026,7428.50
02-JUL-2026,FUTSTK,AMBER,30-JUL-2026,7439.00
02-JUL-2026,FUTSTK,AMBER,25-AUG-2026,7453.00
02-JUL-2026,FUTSTK,AMBER,27-AUG-2026,7478.50
02-JUL-2026,FUTSTK,AMBER,24-SEP-2026,7516.00
02-JUL-2026,FUTSTK,AMBER,29-SEP-2026,7523.00
02-JUL-2026,FUTSTK,AMBUJACEM,28-JUL-2026,431.55
02-JUL-2026,FUTSTK,AMBUJACEM,30-JUL-2026,431.00
02-JUL-2026,FUTSTK,AMBUJACEM,25-AUG-2026,433.75
02-JUL-2026,FUTSTK,AMBUJACEM,27-AUG-2026,433.30
02-JUL-2026,FUTSTK,AMBUJACEM,24-SEP-2026,435.45
02-JUL-2026,FUTSTK,AMBUJACEM,29-SEP-2026,435.85
02-JUL-2026,FUTSTK,ANGELONE,28-JUL-2026,348.65
02-JUL-2026,FUTSTK,ANGELONE,30-JUL-2026,347.80
02-JUL-2026,FUTSTK,ANGELONE,25-AUG-2026,349.90
02-JUL-2026,FUTSTK,ANGELONE,27-AUG-2026,349.65
02-JUL-2026,FUTSTK,ANGELONE,24-SEP-2026,351.40
02-JUL-2026,FUTSTK,ANGELONE,29-SEP-2026,351.75
02-JUL-2026,FUTSTK,APLAPOLLO,28-JUL-2026,1794.30
02-JUL-2026,FUTSTK,APLAPOLLO,30-JUL-2026,1796.70
02-JUL-2026,FUTSTK,APLAPOLLO,25-AUG-2026,1801.40
02-JUL-2026,FUTSTK,APLAPOLLO,27-AUG-2026,1806.30
02-JUL-2026,FUTSTK,APLAPOLLO,24-SEP-2026,1815.30
02-JUL-2026,FUTSTK,APLAPOLLO,29-SEP-2026,1817.00
02-JUL-2026,FUTSTK,APOLLOHOSP,28-JUL-2026,8766.00
02-JUL-2026,FUTSTK,APOLLOHOSP,30-JUL-2026,8737.00
02-JUL-2026,FUTSTK,APOLLOHOSP,25-AUG-2026,8778.00
02-JUL-2026,FUTSTK,APOLLOHOSP,27-AUG-2026,8783.50
02-JUL-2026,FUTSTK,APOLLOHOSP,24-SEP-2026,8827.50
02-JUL-2026,FUTSTK,APOLLOHOSP,29-SEP-2026,8815.00
02-JUL-2026,FUTSTK,ASHOKLEY,28-JUL-2026,165.21
02-JUL-2026,FUTSTK,ASHOKLEY,30-JUL-2026,165.50
02-JUL-2026,FUTSTK,ASHOKLEY,25-AUG-2026,165.92
02-JUL-2026,FUTSTK,ASHOKLEY,27-AUG-2026,166.39
02-JUL-2026,FUTSTK,ASHOKLEY,24-SEP-2026,167.22
02-JUL-2026,FUTSTK,ASHOKLEY,29-SEP-2026,166.78
02-JUL-2026,FUTSTK,ASIANPAINT,28-JUL-2026,2750.20
02-JUL-2026,FUTSTK,ASIANPAINT,30-JUL-2026,2757.30
02-JUL-2026,FUTSTK,ASIANPAINT,25-AUG-2026,2762.10
02-JUL-2026,FUTSTK,ASIANPAINT,27-AUG-2026,2772.00
02-JUL-2026,FUTSTK,ASIANPAINT,24-SEP-2026,2785.90
02-JUL-2026,FUTSTK,ASIANPAINT,29-SEP-2026,2785.50
02-JUL-2026,FUTSTK,ASTRAL,28-JUL-2026,1349.90
02-JUL-2026,FUTSTK,ASTRAL,30-JUL-2026,1369.60
02-JUL-2026,FUTSTK,ASTRAL,25-AUG-2026,1332.20
02-JUL-2026,FUTSTK,ASTRAL,27-AUG-2026,1376.90
02-JUL-2026,FUTSTK,ASTRAL,24-SEP-2026,1383.80
02-JUL-2026,FUTSTK,ASTRAL,29-SEP-2026,1385.10
02-JUL-2026,FUTSTK,AUBANK,28-JUL-2026,1062.50
02-JUL-2026,FUTSTK,AUBANK,30-JUL-2026,1062.00
02-JUL-2026,FUTSTK,AUBANK,25-AUG-2026,1068.10
02-JUL-2026,FUTSTK,AUBANK,27-AUG-2026,1067.60
02-JUL-2026,FUTSTK,AUBANK,24-SEP-2026,1073.00
02-JUL-2026,FUTSTK,AUBANK,29-SEP-2026,1075.30
02-JUL-2026,FUTSTK,AUROPHARMA,28-JUL-2026,1570.10
02-JUL-2026,FUTSTK,AUROPHARMA,30-JUL-2026,1568.30
02-JUL-2026,FUTSTK,AUROPHARMA,25-AUG-2026,1576.10
02-JUL-2026,FUTSTK,AUROPHARMA,27-AUG-2026,1576.70
02-JUL-2026,FUTSTK,AUROPHARMA,24-SEP-2026,1584.60
02-JUL-2026,FUTSTK,AUROPHARMA,29-SEP-2026,1586.00
02-JUL-2026,FUTSTK,AXISBANK,28-JUL-2026,1364.80
02-JUL-2026,FUTSTK,AXISBANK,30-JUL-2026,1369.30
02-JUL-2026,FUTSTK,AXISBANK,25-AUG-2026,1372.70
02-JUL-2026,FUTSTK,AXISBANK,27-AUG-2026,1376.60
02-JUL-2026,FUTSTK,AXISBANK,24-SEP-2026,1383.50
02-JUL-2026,FUTSTK,AXISBANK,29-SEP-2026,1382.20
02-JUL-2026,FUTSTK,BAJAJ-AUTO,28-JUL-2026,9828.00
02-JUL-2026,FUTSTK,BAJAJ-AUTO,30-JUL-2026,9903.50
02-JUL-2026,FUTSTK,BAJAJ-AUTO,25-AUG-2026,9833.00
02-JUL-2026,FUTSTK,BAJAJ-AUTO,27-AUG-2026,9956.50
02-JUL-2026,FUTSTK,BAJAJ-AUTO,24-SEP-2026,10006.00
02-JUL-2026,FUTSTK,BAJAJ-AUTO,29-SEP-2026,9839.50
02-JUL-2026,FUTSTK,BAJAJFINSV,28-JUL-2026,1861.50
02-JUL-2026,FUTSTK,BAJAJFINSV,30-JUL-2026,1864.50
02-JUL-2026,FUTSTK,BAJAJFINSV,25-AUG-2026,1872.70
02-JUL-2026,FUTSTK,BAJAJFINSV,27-AUG-2026,1874.50
02-JUL-2026,FUTSTK,BAJAJFINSV,24-SEP-2026,1883.90
02-JUL-2026,FUTSTK,BAJAJFINSV,29-SEP-2026,1881.50
02-JUL-2026,FUTSTK,BAJAJHLDNG,28-JUL-2026,10923.00
02-JUL-2026,FUTSTK,BAJAJHLDNG,30-JUL-2026,10909.00
02-JUL-2026,FUTSTK,BAJAJHLDNG,25-AUG-2026,11027.00
02-JUL-2026,FUTSTK,BAJAJHLDNG,27-AUG-2026,10968.00
02-JUL-2026,FUTSTK,BAJAJHLDNG,24-SEP-2026,11023.00
