ABB INDIA LIMITED             ,ABB       ,X8,04-AUG-2026,N,0000035.00,0000035.00,0000035.00,0000034.95,0000034.95,    ,           141,           4934.20,0000337.00,0000005.05,02-JUL-2026,       2
ASTRAL LIMITED                ,ASTRAL    ,X8,04-AUG-2026,N,0000006.00,0000009.99,0000015.00,0000006.75,0000006.75,    ,          6950,          72562.90,0000030.00,0000000.79,02-JUL-2026,      39
AU SMALL FINANCE BANK LTD     ,AUBANK    ,X8,04-AUG-2026,N,0000003.08,0000005.00,0000005.00,0000005.00,0000005.00,    ,             9,             45.00,0000005.00,0000000.01,02-JUL-2026,       1
BAJAJ AUTO LIMITED            ,BAJAJ-AUTO,X8,04-AUG-2026,N,0000005.00,0000005.25,0000008.00,0000005.00,0000006.95,    ,         19659,         136489.91,0000080.00,0000000.01,02-JUL-2026,     162
BANK OF BARODA                ,BANKBARODA,X8,04-AUG-2026,N,0000000.45,0000000.44,0000000.44,0000000.44,0000000.44,    ,            25,             11.00,0000000.50,0000000.39,02-JUL-2026,       1
BHARAT DYNAMICS LIMITED       ,BDL       ,X8,04-AUG-2026,N,0000009.99,0000007.00,0000023.80,0000007.00,0000022.00,    ,           367,           5027.90,0000070.00,0000002.00,02-JUL-2026,       8
BSE LIMITED                   ,BSE       ,X4,06-APR-2027,N,0000000.50,0000005.00,0000010.00,0000005.00,0000010.00,    ,           319,           3140.00,0000010.00,0000000.01,02-JUL-2026,       3
BSE LIMITED                   ,BSE       ,X7,07-JUL-2026,N,0000002.00,0000000.81,0000000.90,0000000.81,0000000.90,    ,           400,            359.82,0000005.00,0000000.05,02-JUL-2026,       3
BSE LIMITED                   ,BSE       ,X8,04-AUG-2026,N,0000001.00,0000000.97,0000000.97,0000000.94,0000000.95,    ,          2400,           2293.83,0000004.50,0000000.25,02-JUL-2026,       6
COMPUTER AGE MNGT SER LTD     ,CAMS      ,X9,01-SEP-2026,N,0000001.50,0000001.00,0000001.00,0000001.00,0000001.00,    ,            30,             30.00,0000016.00,0000001.00,02-JUL-2026,       1
CENTRAL DEPO SER (I) LTD      ,CDSL      ,X8,04-AUG-2026,N,0000003.85,0000001.10,0000004.00,0000001.10,0000001.10,    ,          2749,           9696.53,0000005.84,0000000.01,02-JUL-2026,      14
CENTRAL DEPO SER (I) LTD      ,CDSL      ,X9,01-SEP-2026,N,0000000.25,0000001.00,0000001.00,0000001.00,0000001.00,    ,             8,              8.00,0000010.00,0000000.25,02-JUL-2026,       1
COAL INDIA LTD                ,COALINDIA ,X8,04-AUG-2026,N,0000000.90,0000000.01,0000000.01,0000000.01,0000000.01,    ,            35,              0.35,0000001.74,0000000.01,02-JUL-2026,       1
COCHIN SHIPYARD LIMITED       ,COCHINSHIP,X8,04-AUG-2026,N,0000021.00,0000021.00,0000022.00,0000012.00,0000016.00,    ,         11734,         202427.27,0000055.00,0000001.00,02-JUL-2026,      70
COFORGE LIMITED               ,COFORGE   ,X8,04-AUG-2026,N,0000012.00,0000002.20,0000012.00,0000002.20,0000012.00,    ,           176,            397.00,0000050.00,0000000.50,02-JUL-2026,       2
CYIENT LIMITED                ,CYIENT    ,X8,04-AUG-2026,N,0000009.27,0000010.00,0000010.50,0000008.20,0000010.50,    ,          7173,          70834.85,0000021.00,0000003.00,02-JUL-2026,      21
AVENUE SUPERMARTS LIMITED     ,DMART     ,X7,07-JUL-2026,N,0000000.11,0000001.00,0000001.00,0000001.00,0000001.00,    ,          1000,           1000.00,0000018.00,0000000.10,02-JUL-2026,       2
AVENUE SUPERMARTS LIMITED     ,DMART     ,X8,04-AUG-2026,N,0000003.90,0000007.00,0000010.00,0000003.00,0000003.00,    ,        350855,        2354107.32,0000027.00,0000000.01,02-JUL-2026,    1794
AVENUE SUPERMARTS LIMITED     ,DMART     ,X9,01-SEP-2026,N,0000007.50,0000007.50,0000012.50,0000007.50,0000009.90,    ,         37550,         380562.11,0000040.00,0000002.06,02-JUL-2026,     110
EICHER MOTORS LTD             ,EICHERMOT ,X8,04-AUG-2026,N,0000004.99,0000004.98,0000004.98,0000004.98,0000004.98,    ,             8,             39.84,0000004.99,0000003.00,02-JUL-2026,       1
FORCE MOTORS LIMITED          ,FORCEMOT  ,X8,04-AUG-2026,N,0000050.00,0000040.00,0000040.00,0000040.00,0000040.00,    ,            83,           3320.00,0000138.88,0000021.00,02-JUL-2026,       1
