Sr no,Security,Series,Outstanding Quantity at the end of the day
1,360ONE,X1,2
2,360ONE,X4,35
3,360ONE,XN,5
4,ABB,X2,10
5,ABB,X7,155380
6,ABB,X8,632800
7,ABB,X9,1875
8,ABCAPITAL,X7,3100
9,ABCAPITAL,X8,1919
10,ABREL,X7,3
11,ABSLAMC,X7,41
12,ACC,X7,17336
13,ACC,X8,41253
14,ACMESOLAR,X7,63
15,ACUTAAS,X7,40
16,ADANIENSOL,X7,2662
17,ADANIENT,X2,10
18,ADANIENT,X7,2268
19,ADANIENT,X8,4400
20,ADANIENT,X9,2
21,ADANIGREEN,X7,262
22,ADANIPORTS,X7,404
23,ADANIPOWER,X7,66975
24,ADANIPOWER,XN,2
25,AETHER,X7,32
26,AGI,X7,4
27,AJANTPHARM,X7,1
28,ALKEM,X7,11153
29,AMBER,X7,2263
30,AMBUJACEM,X7,82
31,ANANDRATHI,X7,12
32,ANGELONE,X1,250
33,ANGELONE,X4,3
34,ANGELONE,X5,96
35,ANGELONE,X7,20
36,ANGELONE,X8,763
37,ANGELONE,XO,2000
38,ANTHEM,X7,13
39,ANURAS,X7,1
40,APLAPOLLO,X7,338
41,APLAPOLLO,X8,145
42,APOLLO,X7,20
43,APOLLOHOSP,X7,129
44,ARE&M,X7,4
45,ARVIND,X7,4
46,ARVINDFASN,X7,9
47,ASHOKLEY,X4,264
48,ASHOKLEY,X5,6338
49,ASHOKLEY,X7,60906
50,ASHOKLEY,X8,21754
51,ASHOKLEY,XO,1
52,ASIANPAINT,X7,23000
53,ASIANPAINT,X8,8500
54,ASIANPAINT,X9,3
55,ASIANPAINT,XO,23
56,ASTRAL,X1,20
57,ASTRAL,X3,21
58,ASTRAL,X4,44
59,ASTRAL,X5,76
60,ASTRAL,X6,13
61,ASTRAL,X7,520847
62,ASTRAL,X8,344892
63,ASTRAL,X9,9350
64,ASTRAL,XD,26
65,ASTRAMICRO,X7,1
66,ASTRAZEN,X7,32
67,ATGL,X7,339
68,ATHERENERG,X7,29
69,AUBANK,X7,1936
70,AUBANK,X8,11
71,AUROPHARMA,X7,667
72,AUROPHARMA,X8,396
73,AVALON,X7,2
74,AVANTIFEED,X7,2
75,AXISBANK,X7,32904
76,AZAD,X7,32
77,BAJAJ-AUTO,X7,375
78,BAJAJ-AUTO,X8,651712
79,BAJAJCON,X7,2
80,BAJAJFINSV,X7,5
81,BAJAJHIND,X8,5
82,BAJAJHLDNG,X7,2353
83,BAJAJHLDNG,X8,981
84,BAJFINANCE,X7,1552
85,BALKRISIND,X7,9
86,BALRAMCHIN,X7,4
87,BANDHANBNK,X7,13465
88,BANDHANBNK,X8,100
89,BANKBARODA,X7,4704
90,BANKBARODA,X8,5708
91,BANKBEES,X7,64
92,BANKINDIA,X7,343218
93,BANKINDIA,X8,1
94,BBOX,X7,1
95,BDL,X4,60
96,BDL,X6,75
97,BDL,X7,1156256
98,BDL,X8,1200474
99,BEL,X7,6171
100,BHARATFORG,X7,531008
101,BHARATFORG,X8,1238921
102,BHARTIARTL,X7,4452
103,BHARTIARTL,X8,3482
104,BHARTIARTL,X9,500
105,BHARTIHEXA,X7,26005
106,BHARTIHEXA,X8,301
107,BHEL,X7,3371
108,BHEL,X8,5250
109,BIKAJI,X7,1
110,BIOCON,X7,136
111,BLUESTARCO,X4,6
112,BLUESTARCO,X5,85
113,BLUESTARCO,X7,156420
114,BLUESTARCO,X8,487888
115,BLUESTONE,X7,1948
116,BOSCHLTD,X7,26
117,BOSCHLTD,X8,25
118,BPCL,X7,6712
119,BRITANNIA,X7,25362
120,BRITANNIA,X8,25
121,BSE,X4,319
122,BSE,X7,381951
123,BSE,X8,100067
124,BSE,XO,29301
125,BSOFT,X7,150
126,CAMS,X4,127
127,CAMS,X5,54
128,CAMS,X7,106865
129,CAMS,X8,76
130,CAMS,X9,123
131,CANBK,X7,272
132,CAPACITE,X7,34
133,CARBORUNIV,X7,3
134,CDSL,X1,389
135,CDSL,X2,1732
136,CDSL,X4,13
137,CDSL,X5,276
138,CDSL,X6,3
139,CDSL,X7,890184
140,CDSL,X8,149724
141,CDSL,X9,8
142,CDSL,XO,2217
143,CEATLTD,X7,1
144,CEMPRO,X7,2988
145,CEMPRO,X8,540
146,CENTRALBK,X7,9000
147,CGPOWER,X7,7113
148,CGPOWER,X8,7234
149,CHOLAFIN,X7,2930
150,CHOLAFIN,X8,13455
151,CHOLAHLDNG,X7,7
152,CIPLA,X7,601
153,CIPLA,X8,75
154,CMSINFO,X7,9228
155,COALINDIA,X7,18172303
156,COALINDIA,X8,2939
157,COALINDIA,X9,2414
158,COCHINSHIP,X7,169568
159,COCHINSHIP,X8,1998851
160,COFORGE,X6,9
161,COFORGE,X7,295092
162,COFORGE,X8,975527
163,COHANCE,X7,17
164,COLPAL,X7,152895
165,COLPAL,X8,445608
166,CONCOR,X7,1260
167,CONCORDBIO,X7,11
168,COROMANDEL,X7,3012
169,COROMANDEL,X8,5550
170,CPPLUS,X7,391
171,CPPLUS,X8,165
172,CRAFTSMAN,X7,11691
173,CUMMINSIND,X7,776
174,CUMMINSIND,X8,499
175,CUPID,X7,27997
176,CYIENT,X7,36
177,CYIENT,X8,83490
178,DABUR,X7,3750
179,DALBHARAT,X7,1
180,DALBHARAT,X8,4005
181,DATAPATTNS,X7,2
182,DBREALTY,X7,13502
183,DBREALTY,X8,49150
184,DBREALTY,X9,100
185,DEEPAKFERT,X7,1
186,DELHIVERY,X7,4
187,DEVYANI,X7,69
188,DIVISLAB,X7,301
189,DIXON,X4,18
190,DIXON,X6,24
191,DIXON,X7,43001
192,DIXON,X8,9545
193,DLF,X7,100
194,DMART,X4,36
195,DMART,X7,106014
196,DMART,X8,418100
197,DMART,X9,49604
198,DOMS,X7,34
199,DRREDDY,X4,17
200,DRREDDY,X5,22
201,DRREDDY,X7,1416306
202,DRREDDY,X8,2060002
203,DRREDDY,X9,80625
204,E2E,X7,53
205,EASEMYTRIP,X7,5
206,EASEMYTRIP,X9,4
207,EASEMYTRIP,XD,3
208,ECLERX,X7,4
209,EDELWEISS,X7,40
210,EICHERMOT,X7,303
211,EICHERMOT,X8,8
212,EIDPARRY,X7,1
213,EMAMILTD,X7,1
214,EMCURE,X7,1
215,ENGINERSIN,X7,92
216,ENRIN,X7,174
217,EPACK,X7,81
218,ETERNAL,X7,4867
219,ETERNAL,XO,75
220,EXIDEIND,X7,1800
221,FACT,X7,48
222,FEDERALBNK,X7,3731395
223,FEDFINA,X7,1
224,FINCABLES,X7,33
225,FINPIPE,X7,45
226,FIRSTCRY,X7,1
227,FLUOROCHEM,X7,47
228,FORCEMOT,X7,60315
229,FORCEMOT,X8,34793
230,FORTIS,X7,829
231,FSL,X7,30005
232,FSL,X8,25000
233,GABRIEL,X7,7
234,GAIL,X7,274113
235,GAIL,X8,1500
236,GALLANTT,X7,331
237,GESHIP,X7,8
238,GICRE,X7,139180
239,GICRE,X8,3824
240,GLAND,X7,1
241,GLENMARK,X7,1252
242,GMRAIRPORT,X7,13951
243,GMRAIRPORT,X8,1
244,GODFRYPHLP,X4,23
245,GODFRYPHLP,X5,99
246,GODFRYPHLP,X7,145200
247,GODFRYPHLP,X8,56554
248,GODREJCP,X7,9150
