SYMBOL , QUANTITY , Lending Fee (Rs.),Turnover (Rs.),Weighted Average yield %,Count of Trades
EMAMILTD,1,.98,400.08,2.56,1
SUNDARMFIN,2,20,8397.8,2.48,1
HCLTECH,15063639,56571795.4,16939888061.8,3.15,10886
BDL,1867712,48794436.53,2437478014.43,19.47,8638
VEDL,790034,582270.4,242028716.95,2.63,612
PRAKASH,25,21.75,3554.25,10.7,1
SBICARD,676760,8260199.65,423875853.65,19.18,3886
JSWINFRA,1307072,2722523.24,393642827.34,15.03,1045
ASHOKLEY,276502,62000.21,40778615.74,.41,116
ZYDUSLIFE,4384,15643,4809261,4.86,20
POLICYBZR,29836,152660.93,49292784.73,3.06,84
PAGEIND,1316,128174.25,52166674.25,2.28,76
JIOFIN,4957,907.85,1176839.51,1.07,8
HYUNDAI,16279,94135.69,31734764.89,2.81,177
POWERGRID,651,177.97,185424.52,2.53,15
CYIENT,75881,794208.52,67513093.37,10.66,644
MANKIND,2445,2239.67,5907985.27,.55,23
KIMS,63439,318840.24,49105707.34,12.36,62
COALINDIA,151942,6105.55,70908114.8,.08,99
ASIANPAINT,31000,31393.61,84816328.61,.7,78
GUJGASLTD,112990,268383.63,45277673.23,3.7,117
ATHERENERG,29,168.5,28138.25,16.13,2
TITAGARH,17,8.5,15658.7,1.52,1
AVANTIFEED,2,40,1952.8,58.71,1
TRITURBINE,25,174.25,18608,26.54,1
ASTRAZEN,32,1577.6,270025.6,30.64,1
THANGAMAYL,2,30,8439.8,3.72,1
PREMEXPLN,1,10,700.6,15.1,1
POWERINDIA,12318,1712603.55,420093473.55,6.09,285
COROMANDEL,8562,18461.16,15886162.96,1.02,15
NTPC,3000,609.98,1068909.98,3.47,6
ACC,89559,180430.45,119745604.45,1.74,123
APOLLO,20,8.91,8516.16,2.71,2
HINDALCO,228,223.44,230503.44,2.52,2
FEDERALBNK,598,238.96,173053.21,1.44,4
METROPOLIS,372,1860,203986.2,47.98,1
BRITANNIA,170,292.1,890447.1,1.24,3
SHAKTIPUMP,181,335.53,100564.28,9.39,2
EPACK,81,405,20872.89,55.55,1
HIRECT,1,10,1124.05,9.36,1
LALPATHLAB,1,10,1617.3,6.48,1
RHIM,3,15,1234.8,12.82,1
VOLTAMP,5,25,47510,.54,1
PRIVISCL,18,90,59590.8,1.62,1
NMDC,443,59.35,39127.52,4.26,3
LLOYDSME,1,50,1867.5,29.53,1
TATACHEM,1,.97,734.97,1.41,1
PGEL,25,12.5,14072.5,2.7,1
MFSL,479,879,803459.6,2.65,2
FSL,25000,18655,6079208.75,2.8,10
EICHERMOT,303,314.94,2216192.94,.27,3
IFBIND,7,35,8764,4.3,1
PHOENIXLTD,10126,161235.8,19522147.8,8.94,17
JINDALSTEL,9,17.64,10205.64,4.86,1
SUPREMEIND,31,279,109321.5,5.18,1
FIRSTCRY,1,.5,221.85,6.34,1
GLENMARK,1250,425,2733675,.94,5
IREDA,21249840,67628014.55,2779668742.45,24.69,20024
KPITTECH,1239885,14936149.55,952275133.5,16.91,3422
CHOLAFIN,16380,24006.82,26476941.42,2.01,22
NUVAMA,1297112,14549810.73,2167113345.13,5.81,1370
ABB,645113,22628629.25,4598241282.25,5.36,4034
POLYCAB,131726,4620613.66,1276804853.66,11.11,870
SUNPHARMA,633,201.25,1184629.95,.96,13
SHREECEM,36181,11129843.19,920558838.19,12.02,1421
SBIN,4984,2293.97,5108777.07,1.54,21
INDIANB,866891,5704075.92,727481652.37,8.29,985
MEESHO,728623,1083780.3,127340130.42,11.19,107
PREMIERENE,16044,46629.57,17359018.57,2.89,56
GICRE,143004,311605.73,55658771.53,10.22,139
