SYMBOL,Client Limit (no. of shares) (Jul 2026)
3MINDIA,2816
63MOONS,25052
AADHARHFC,152914
AARTIDRUGS,41046
AARTIIND,209970
AARTIPHARM,51599
AAVAS,40525
ABBOTINDIA,5315
ABDL,53390
ABFRL,647866
ABLBL,645889
ABREL,54498
ABSLAMC,72732
ACC,81330
ACE,41112
ACI,57499
ACMESOLAR,200833
ACUTAAS,55129
ADFFOODS,70165
ADVENZYMES,63506
AEGISLOG,147075
AEGISVOPAK,144765
AEQUS,115555
AEROFLEX,37769
AETHER,33242
AFCONS,183278
AFFLE,63296
AGARWALEYE,214303
AGI,25624
AGIIL,35883
AHLUCONT,29931
AIAENG,38731
AIIL,264861
AJANTPHARM,42148
AKUMS,34646
ALIVUS,30840
ALKYLAMINE,14296
ALOKINDS,1241395
AMAGI,38398
ANANDRATHI,97346
ANANTRAJ,153279
ANTHEM,142249
ANUP,11833
ANURAS,46595
APARINDS,16964
APLLTD,59481
APOLLO,164608
APOLLOPIPE,21139
APOLLOTYRE,398013
APTUS,381230
ARE&M,122880
ARMANFIN,8198
ARSSBL,18506
ARVIND,158493
ARVINDFASN,86748
ARVSMART,21178
ASAHIINDIA,123460
ASHAPURMIN,49646
ASHIANA,39098
ASHOKA,127794
ASIANTILES,181465
ASKAUTOLTD,49384
ASTERDM,307655
ASTRAMICRO,88739
ASTRAZEN,6250
ATGL,277146
ATHERENERG,226664
ATUL,16127
AURIONPRO,40316
AVALON,37108
AVANTEL,167278
AVANTIFEED,77350
AVL,68258
AWFIS,59377
AWL,553799
AXISCADES,17835
AYE,81311
AZAD,28517
BAJAJCON,74493
BAJAJELEC,43048
BAJAJHFL,1104258
BAJAJHIND,956836
BALAMINES,14714
BALKRISIND,80626
BALRAMCHIN,114447
BALUFORGE,49546
BANCOINDIA,45937
BASF,11542
BATAINDIA,64062
BAYERCROP,12839
BBL,7499
BBOX,46089
BBTC,18108
BCG,1647528
BECTORFOOD,156454
BELRISE,298495
BEML,38289
BERGEPAINT,291773
BHARATCOAL,406323
BHARTIHEXA,150000
BIKAJI,65497
BIRLACORPN,28571
BLACKBUCK,136261
BLISSGVS,68245
BLS,121692
BLUEDART,5931
BLUEJET,35019
BLUESTONE,108979
BOMDYEING,95893
BORORENEW,50361
BRIGADE,192105
BSOFT,166600
BUILDPRO,14506
CAMLINFINE,95721
CAMPUS,85275
CANFINHOME,93223
CANHLIFE,234984
CAPACITE,57792
CAPLIPOINT,22369
CARBORUNIV,116411
CARERATING,30047
CARTRADE,47878
CARYSIL,16685
CASTROLIND,484669
CCAVENUE,2527008
CCL,71628
CEATLTD,21212
CEIGALL,31258
CELLO,55222
CEMPRO,55894
CENTRALBK,1702621
CENTUM,7830
CENTURYPLY,62590
CERA,5875
CESC,634799
CGCL,385642
CHALET,71629
CHAMBLFERT,155236
CHEMPLASTS,71164
CHENNPETRO,48713
CHOICEIN,88617
CHOLAHLDNG,100695
CIEINDIA,130123
CLEAN,51764
CLEANMAX,26268
CMPDI,79789
CMSINFO,159698
COCKERILL,1459
COHANCE,162636
CONCORDBIO,58499
CONFIPET,146566
COROMANDEL,128254
CORONA,6174
COSMOFIRST,15252
CPPLUS,29753
CRAFTSMAN,14536
CRAMC,49854
CREDITACC,54087
CRISIL,24397
CSBBANK,100083
CUB,990729
CUPID,725671
CYIENT,84604
CYIENTDLM,37997
DATAMATICS,19903
DATAPATTNS,32241
DBL,59873
DCAL,63775
DCBBANK,269643
DCMSHRIRAM,51117
DECNGOLD,157103
DEEPAKFERT,68634
DEEPAKNTR,69112
DEEPINDS,23366
DELTACORP,175480
DEVYANI,476347
DHANUKA,13652
DIACABS,84197
DIAMONDYD,10615
DOMS,17971
DYNAMATECH,3973
EASEMYTRIP,2248705
EBGNG,24274
ECLERX,40744
EDELWEISS,641222
EFCIL,64973
EIDPARRY,104156
EIHOTEL,419941
ELECON,91387
ELECTCAST,308259
ELECTHERM,8932
ELGIEQUIP,216387
EMAMILTD,197106
EMBDL,769005
EMCURE,41961
EMIL,133996
EMMVEE,133640
EMUDHRA,36997
ENDURANCE,35165
ENGINERSIN,273583
ENRIN,89030
ENTERO,20703
EPACK,50826
EPIGRAL,13447
EPL,235768
EQUITASBNK,1141043
ERIS,61527
ESCORTS,33901
