SYMBOL,Participant Limit(no. of shares) (Jul 2026)
3MINDIA,28162
63MOONS,250526
AADHARHFC,1529148
AARTIDRUGS,410465
AARTIIND,2099707
AARTIPHARM,515992
AAVAS,405255
ABBOTINDIA,53152
ABDL,533900
ABFRL,6478661
ABLBL,6458899
ABREL,544982
ABSLAMC,727325
ACC,813303
ACE,411120
ACI,574992
ACMESOLAR,2008339
ACUTAAS,551297
ADFFOODS,701650
ADVENZYMES,635062
AEGISLOG,1470753
AEGISVOPAK,1447655
AEQUS,1155558
AEROFLEX,377696
AETHER,332425
AFCONS,1832780
AFFLE,632964
AGARWALEYE,2143033
AGI,256245
AGIIL,358832
AHLUCONT,299315
AIAENG,387319
AIIL,2648617
AJANTPHARM,421483
AKUMS,346465
ALIVUS,308400
ALKYLAMINE,142967
ALOKINDS,12413952
AMAGI,383983
ANANDRATHI,973461
ANANTRAJ,1532796
ANTHEM,1422494
ANUP,118338
ANURAS,465952
APARINDS,169640
APLLTD,594813
APOLLO,1646084
APOLLOPIPE,211393
APOLLOTYRE,3980138
APTUS,3812302
ARE&M,1228800
ARMANFIN,81986
ARSSBL,185065
ARVIND,1584931
ARVINDFASN,867486
ARVSMART,211789
ASAHIINDIA,1234601
ASHAPURMIN,496462
ASHIANA,390980
ASHOKA,1277944
ASIANTILES,1814655
ASKAUTOLTD,493842
ASTERDM,3076554
ASTRAMICRO,887391
ASTRAZEN,62500
ATGL,2771466
ATHERENERG,2266644
ATUL,161273
AURIONPRO,403161
AVALON,371082
AVANTEL,1672786
AVANTIFEED,773504
AVL,682587
AWFIS,593774
AWL,5537995
AXISCADES,178353
AYE,813113
AZAD,285175
BAJAJCON,744933
BAJAJELEC,430484
BAJAJHFL,11042581
BAJAJHIND,9568365
BALAMINES,147143
BALKRISIND,806269
BALRAMCHIN,1144476
BALUFORGE,495468
BANCOINDIA,459373
BASF,115424
BATAINDIA,640620
BAYERCROP,128390
BBL,74991
BBOX,460894
BBTC,181088
BCG,16475280
BECTORFOOD,1564543
BELRISE,2984959
BEML,382890
BERGEPAINT,2917733
BHARATCOAL,4063232
BHARTIHEXA,1500000
BIKAJI,654970
BIRLACORPN,285711
BLACKBUCK,1362611
BLISSGVS,682451
BLS,1216924
BLUEDART,59319
BLUEJET,350196
BLUESTONE,1089796
BOMDYEING,958937
BORORENEW,503611
BRIGADE,1921053
BSOFT,1666005
BUILDPRO,145067
CAMLINFINE,957213
CAMPUS,852752
CANFINHOME,932237
CANHLIFE,2349849
CAPACITE,577925
CAPLIPOINT,223693
CARBORUNIV,1164111
CARERATING,300470
CARTRADE,478780
CARYSIL,166858
CASTROLIND,4846699
CCAVENUE,25270087
CCL,716285
CEATLTD,212123
CEIGALL,312580
CELLO,552220
CEMPRO,558947
CENTRALBK,17026216
CENTUM,78305
CENTURYPLY,625901
CERA,58752
CESC,6347998
CGCL,3856426
CHALET,716294
CHAMBLFERT,1552366
CHEMPLASTS,711645
CHENNPETRO,487133
CHOICEIN,886170
CHOLAHLDNG,1006951
CIEINDIA,1301233
CLEAN,517644
CLEANMAX,262688
CMPDI,797895
CMSINFO,1596984
COCKERILL,14596
COHANCE,1626369
CONCORDBIO,584995
CONFIPET,1465663
COROMANDEL,1282545
CORONA,61740
COSMOFIRST,152525
CPPLUS,297535
CRAFTSMAN,145364
CRAMC,498543
CREDITACC,540870
CRISIL,243974
CSBBANK,1000832
CUB,9907294
CUPID,7256711
CYIENT,846045
CYIENTDLM,379978
DATAMATICS,199033
DATAPATTNS,322415
DBL,598734
DCAL,637756
DCBBANK,2696431
DCMSHRIRAM,511178
DECNGOLD,1571037
DEEPAKFERT,686342
DEEPAKNTR,691125
DEEPINDS,233663
DELTACORP,1754801
DEVYANI,4763476
DHANUKA,136528
DIACABS,841971
DIAMONDYD,106155
DOMS,179710
DYNAMATECH,39731
EASEMYTRIP,22487052
EBGNG,242748
ECLERX,407445
EDELWEISS,6412226
EFCIL,649731
EIDPARRY,1041563
EIHOTEL,4199411
ELECON,913878
ELECTCAST,3082592
ELECTHERM,89320
ELGIEQUIP,2163872
EMAMILTD,1971065
EMBDL,7690054
EMCURE,419613
EMIL,1339964
EMMVEE,1336405
EMUDHRA,369975
