SYMBOL,MWPL(no. of shares) (Jul 2026)
3MINDIA,281626
63MOONS,2505265
AADHARHFC,15291488
AARTIDRUGS,4104658
AARTIIND,20997070
AARTIPHARM,5159928
AAVAS,4052551
ABBOTINDIA,531525
ABDL,5339007
ABFRL,64786611
ABLBL,64588993
ABREL,5449824
ABSLAMC,7273254
ACC,8133033
ACE,4111201
ACI,5749921
ACMESOLAR,20083394
ACUTAAS,5512970
ADFFOODS,7016503
ADVENZYMES,6350626
AEGISLOG,14707532
AEGISVOPAK,14476553
AEQUS,11555584
AEROFLEX,3776969
AETHER,3324253
AFCONS,18327803
AFFLE,6329644
AGARWALEYE,21430338
AGI,2562456
AGIIL,3588328
AHLUCONT,2993158
AIAENG,3873199
AIIL,26486179
AJANTPHARM,4214832
AKUMS,3464657
ALIVUS,3084006
ALKYLAMINE,1429678
ALOKINDS,124139522
AMAGI,3839831
ANANDRATHI,9734611
ANANTRAJ,15327960
ANTHEM,14224947
ANUP,1183387
ANURAS,4659529
APARINDS,1696401
APLLTD,5948131
APOLLO,16460845
APOLLOPIPE,2113935
APOLLOTYRE,39801384
APTUS,38123024
ARE&M,12288004
ARMANFIN,819867
ARSSBL,1850659
ARVIND,15849315
ARVINDFASN,8674863
ARVSMART,2117898
ASAHIINDIA,12346013
ASHAPURMIN,4964626
ASHIANA,3909807
ASHOKA,12779443
ASIANTILES,18146550
ASKAUTOLTD,4938422
ASTERDM,30765547
ASTRAMICRO,8873918
ASTRAZEN,625000
ATGL,27714660
ATHERENERG,22666444
ATUL,1612736
AURIONPRO,4031619
AVALON,3710827
AVANTEL,16727864
AVANTIFEED,7735047
AVL,6825874
AWFIS,5937740
AWL,55379953
AXISCADES,1783534
AYE,8131132
AZAD,2851750
BAJAJCON,7449332
BAJAJELEC,4304843
BAJAJHFL,110425816
BAJAJHIND,95683652
BALAMINES,1471439
BALKRISIND,8062699
BALRAMCHIN,11444764
BALUFORGE,4954682
BANCOINDIA,4593731
BASF,1154242
BATAINDIA,6406202
BAYERCROP,1283909
BBL,749912
BBOX,4608947
BBTC,1810885
BCG,164752802
BECTORFOOD,15645432
BELRISE,29849592
BEML,3828900
BERGEPAINT,29177337
BHARATCOAL,40632325
BHARTIHEXA,15000000
BIKAJI,6549700
BIRLACORPN,2857115
BLACKBUCK,13626111
BLISSGVS,6824517
BLS,12169242
BLUEDART,593198
BLUEJET,3501969
BLUESTONE,10897965
BOMDYEING,9589373
BORORENEW,5036111
BRIGADE,19210534
BSOFT,16660050
BUILDPRO,1450678
CAMLINFINE,9572137
CAMPUS,8527520
CANFINHOME,9322376
CANHLIFE,23498492
CAPACITE,5779256
CAPLIPOINT,2236934
CARBORUNIV,11641114
CARERATING,3004701
CARTRADE,4787803
CARYSIL,1668585
CASTROLIND,48466996
CCAVENUE,252700870
CCL,7162854
CEATLTD,2121239
CEIGALL,3125805
CELLO,5522205
CEMPRO,5589470
CENTRALBK,170262168
CENTUM,783050
CENTURYPLY,6259013
CERA,587520
CESC,63479987
CGCL,38564265
CHALET,7162944
CHAMBLFERT,15523661
CHEMPLASTS,7116450
CHENNPETRO,4871330
CHOICEIN,8861700
CHOLAHLDNG,10069514
CIEINDIA,13012336
CLEAN,5176445
CLEANMAX,2626885
CMPDI,7978950
CMSINFO,15969841
COCKERILL,145961
COHANCE,16263697
CONCORDBIO,5849959
CONFIPET,14656630
COROMANDEL,12825456
CORONA,617405
COSMOFIRST,1525253
CPPLUS,2975352
CRAFTSMAN,1453642
CRAMC,4985435
CREDITACC,5408700
CRISIL,2439743
CSBBANK,10008325
CUB,99072943
CUPID,72567115
CYIENT,8460455
CYIENTDLM,3799789
DATAMATICS,1990331
DATAPATTNS,3224158
DBL,5987346
DCAL,6377565
DCBBANK,26964314
DCMSHRIRAM,5111788
DECNGOLD,15710375
DEEPAKFERT,6863427
DEEPAKNTR,6911254
DEEPINDS,2336630
DELTACORP,17548016
DEVYANI,47634760
DHANUKA,1365285
DIACABS,8419711
DIAMONDYD,1061551
DOMS,1797101
DYNAMATECH,397319
EASEMYTRIP,224870524
EBGNG,2427481
ECLERX,4074457
EDELWEISS,64122267
EFCIL,6497311
EIDPARRY,10415633
EIHOTEL,41994111
ELECON,9138781
ELECTCAST,30825928
ELECTHERM,893208
ELGIEQUIP,21638729
EMAMILTD,19710658
EMBDL,76900546
EMCURE,4196134
EMIL,13399648
EMMVEE,13364055
EMUDHRA,3699758
ENDURANCE,3516571
ENGINERSIN,27358378
ENRIN,8903059
ENTERO,2070332
EPACK,5082635
EPIGRAL,1344778
EPL,23576806
EQUITASBNK,114104306
ERIS,6152777
ESCORTS,3390153
ETHOSLTD,1322214
EUREKAFORB,7245008
FACT,6470719
FCL,42526063
FDC,4939965
FEDFINA,14673131
FIEMIND,1197134
FINCABLES,9809817
FINEORG,766547
FINPIPE,29274542
FIRSTCRY,48519592
FIVESTAR,24024045
FLUOROCHEM,4240909
FRACTAL,4175169
FSL,31638136
FUSION,7330368
GABRIEL,6460152
GAEL,16583269
GALLANTT,7238688
GANECOS,1620154
GARFIBRES,4629536
GATEWAY,33014383
GENUSPOWER,18443322
GEOJITFSL,17172437
GESHIP,9983091
GHCL,7366808
GICRE,30883238
GILLETTE,814741
GIPCL,6741502
GLAND,7936248
GLAXO,4235151
GLOBUSSPR,1436421
GMDCLTD,8268000
GMMPFAUDLR,3363694
GMRP&UI,29111403
GNFC,8624701
GODIGIT,24953830
GODREJAGRO,6203882
GODREJIND,8542863
GOKEX,6654188
GOKULAGRO,7600896
GOLDIAM,4684578
GOODLUCK,1447597
GPIL,24473661
GPPL,27070097
GRANULES,14846519
GRAPHITE,6771594
GRAVITA,3158493
GREAVESCOT,10298480
GREENPLY,6008466
GRINDWELL,4646574
GRINFRA,2449492
GROWW,76746999
GRSE,2921076
GRWRHITECH,912642
GSFC,24767762
GTLINFRA,1238896787
GUJALKALI,3871624
GUJENERGY,57285091
GUJTHEM,3174718
GULFOILLUB,1629934
GVPIL,2112538
HAPPSTMNDS,8293853
HAPPYFORGE,2030290
HBLENGINE,11334263
HCC,218155488
HCG,5343669
HDBFS,21294361
HEG,8436866
HEMIPROP,13930311
HERITGFOOD,5446825
HEXT,15546829
HFCL,109721906
HGINFRA,1839093
HINDCOPPER,32741064
HINDOILEXP,13224328
HINDWAREAP,3952861
HIRECT,1926990
HITECH,11383246
HOMEFIRST,9703960
HONASA,20972139
HONAUT,221038
HSCL,23902132
HUBTOWN,9544141
HUDCO,50047500
ICICIAMC,4876514
ICIL,8170757
IDBI,56842733
IFBIND,1014559
IFCI,73903723
IGIL,10132389
IGL,77000080
IIFL,31961490
IIFLCAPS,21528948
IKS,5828632
IMFA,2229039
INDGN,24090135
INDIACEM,7747255
INDIAGLYCO,2331350
INDIAMART,3056776
INDIASHLTR,5705659
INDIGOPNTS,2198904
INDOTHAI,4624122
INDRAMEDCO,4492000
INGERRAND,789200
INNOVACAP,2809755
INOXGREEN,16113644
INOXINDIA,2269087
INTELLECT,9815069
INTERARCH,680369
IOB,145610149
IOLCP,12481070
IONEXCHANG,8549556
IPCALAB,14023674
IRB,835899804
IRCON,32758734
IRCTC,30082783
ISGEC,2762462
ITCHOTELS,125297630
ITI,9608869
IXIGO,37110759
IZMO,975733
J&KBANK,44708418
JAINREC,9114331
JAMNAAUTO,20047570
JASH,3550511
JAYNECOIND,43547887
JBCHEPHARM,8220081
JBMA,7678597
JINDALSAW,23316034
JINDWORLD,38336685
JISLJALEQS,52356312
JKCEMENT,4199016
JKIL,4037063
JKLAKSHMI,6812898
JKPAPER,8532213
JKTYRE,13917497
JMFINANCIL,41061137
JPPOWER,520862870
JSFB,8231508
JSL,31241742
JSLL,4522008
JSWCEMENT,35920816
JSWDULUX,1766859
JSWHL,374079
JSWINFRA,32924125
JTLIND,18840379
JUBLINGREA,8563113
JUBLPHARMA,8237198
JUSTDIAL,2198642
JWL,13543861
JYOTHYLAB,13627982
JYOTICNC,8517660
JYOTISTRUC,119365143
KAJARIACER,8331705
KANSAINER,20245442
KARURVYSYA,94667725
KDDL,609685
KEC,13283089
KERNEX,1195480
KIMS,26364960
KIRIINDUS,3798372
KIRLOSBROS,2703725
KIRLOSENG,8565384
KIRLPNU,3974606
KISSHT,5105005
KITEX,8646761
KMEW,767506
KNRCON,14397545
KPEL,3687781
KPIGREEN,9968254
KPIL,11341985
KPRMILL,11100788
KRBL,9117013
KRISHANA,1673350
KSB,5256769
KSCL,1991862
KSHINTL,1631130
KTKBANK,37818156
KWIL,89517840
LALPATHLAB,7781550
LATENTVIEW,7221805
LEMONTREE,61505618
LENSKART,33387111
LGBBROSLTD,2078551
LGEINDIA,10181585
LINDEINDIA,2132105
LLOYDSENGG,85719697
LLOYDSENT,56913202
LLOYDSME,19026352
LMW,739288
LOTUSDEV,8407399
LTFOODS,17013603
LTTS,2801124
LUMAXIND,233693
LUMAXTECH,3000327
LUXIND,776061
LXCHEM,8494137
M&MFIN,65996256
MAHABANK,203049532
MAHLIFE,10153700
MAHLOG,4010955
MAHSCOOTER,560000
MAHSEAMLES,3982671
MANGLMCEM,1649767
MANINDS,4259754
MANINFRA,15153474
MANORAMA,2716364
MANYAVAR,6088811
MAPMYINDIA,2660725
MARINE,4350769
MARKSANS,25434173
MASTEK,1991114
MAYURUNIQ,1791416
MBAPL,2211817
MEDANTA,17983192
MEDIASSIST,6746659
